Unique_Carrier,Unique_Carrier_Name,Unique_Carrier_Entity________,Carrier_Name,Carrier_Group,Carrier_Group_New,Airline_ID,Region,Carrier
B6,JetBlue Airways,6673,JetBlue Airways,3,3,20409,D,B6
VX,Virgin America,1006,Virgin America,3,3,21171,D,VX
04Q,Tradewind Aviation,1126,Tradewind Aviation,1,6,21080,D,04Q
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5,20354,D,AJQ
AMQ,Ameristar Air Cargo,6055,Ameristar Air Cargo,1,4,20201,D,AMQ
G4,Allegiant Air,6035,Allegiant Air,3,3,20368,D,G4
0WQ,Avjet Corporation,1150,Avjet Corporation,1,1,21352,D,0WQ
AA,American Airlines Inc.,0A050,American Airlines Inc.,3,3,19805,D,AA
DL,Delta Air Lines Inc.,1260,Delta Air Lines Inc.,3,3,19790,D,DL
GL,Miami Air International,6690,Miami Air International,2,2,20402,D,GL
UA,United Air Lines Inc.,0A875,United Air Lines Inc.,3,3,19977,D,UA
UA,United Air Lines Inc.,10877,United Air Lines Inc.,3,3,19977,P,UA
WN,Southwest Airlines Co.,6725,Southwest Airlines Co.,3,3,19393,D,WN
WN,Southwest Airlines Co.,11033,Southwest Airlines Co.,3,3,19393,L,WN
27Q,"Jet Aviation Flight Services, Inc.",1194,"Jet Aviation Flight Services, Inc.",1,1,21652,D,27Q
X9,Omni Air International LLC,16736,Omni Air International LLC,2,2,20377,I,X9
09Q,"Swift Air, LLC",1130,"Swift Air, LLC",1,1,21161,D,09Q
KLQ,Kalitta Charters II,6774,Kalitta Charters II,1,1,20372,D,KLQ
LF,CFM Inc d/b/a Contour Airlines,1189,CFM Inc d/b/a Contour Airlines,1,6,21635,D,LF
SY,Sun Country Airlines d/b/a MN Airlines,6795,Sun Country Airlines d/b/a MN Airlines,2,2,20422,D,SY
U7,USA Jet Airlines Inc.,6912,USA Jet Airlines Inc.,2,2,20447,D,U7
9S,Southern Air Inc.,6841,Southern Air Inc.,2,2,20190,D,9S
AS,Alaska Airlines Inc.,6031,Alaska Airlines Inc.,3,3,19930,D,AS
AX,Trans States Airlines,6904,Trans States Airlines,1,5,20237,D,AX
KS,Peninsula Airways Inc.,6975,Peninsula Airways Inc.,1,5,20225,D,KS
ZK,Great Lakes Airlines,6932,Great Lakes Airlines,1,6,20358,D,ZK
4B,Boutique Air,1177,Boutique Air,1,6,21599,D,4B
G7,GoJet Airlines LLC d/b/a United Express,7041,GoJet Airlines LLC d/b/a United Express,2,2,20500,D,G7
OO,SkyWest Airlines Inc.,6700,SkyWest Airlines Inc.,3,3,20304,D,OO
YX,Republic Airlines,6003,Republic Airlines,2,2,20452,D,YX
F9,Frontier Airlines Inc.,6460,Frontier Airlines Inc.,3,3,20436,D,F9
FX,Federal Express Corporation,6200,Federal Express Corporation,3,3,20107,D,FX
NK,Spirit Air Lines,6830,Spirit Air Lines,3,3,20416,D,NK
YV,Mesa Airlines Inc.,6689,Mesa Airlines Inc.,2,2,20378,D,YV
MQ,Envoy Air,6820,Envoy Air,3,3,20398,D,MQ
EV,ExpressJet Airlines Inc.,6085,ExpressJet Airlines Inc.,3,3,20366,D,EV
5X,United Parcel Service,6910,United Parcel Service,3,3,19917,D,5X
9E,Endeavor Air Inc.,7024,Endeavor Air Inc.,2,2,20363,D,9E
CP,Compass Airlines,1131,Compass Airlines,2,2,21167,D,CP
1AQ,Via Airlines d/b/a Charter Air Transport,1158,Via Airlines d/b/a Charter Air Transport,1,6,21477,D,1AQ
QX,Horizon Air,6580,Horizon Air,2,2,19687,D,QX
EM,Empire Airlines Inc.,6299,Empire Airlines Inc.,1,5,20263,D,EM
