Payload,Seats,Ramp_To_Ramp,Air_Time,Passengers,Freight,Mail,Origin,Dest,Aircraft_Type,Aircraft_Config,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,Origin_City_Name,Dest_City_Name,Origin_State_Abr,Dest_State_Abr,CLASS,DISTANCE,DISTANCE_GROUP,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,Year,Quarter,Month
37400,150,124,107,146,0,0,LGB,DEN,694,1,JetBlue Airways,6673,"Long Beach, CA","Denver, CO",CA,CO,F,854,2,0,1,2017,2,6
37822,119,144,125,117,0,0,DEN,SFO,698,1,Virgin America,1006,"Denver, CO","San Francisco, CA",CO,CA,F,967,2,0,1,2017,2,6
37822,119,162,121,119,0,0,SFO,DEN,698,1,Virgin America,1006,"San Francisco, CA","Denver, CO",CA,CO,F,967,2,0,1,2017,2,6
5300,8,120,108,2,0,0,DSM,APA,646,1,Tradewind Aviation,1126,"Des Moines, IA","Denver, CO",IA,CO,L,604,2,0,1,2017,2,6
10841,50,91,72,43,0,0,DEN,DIK,675,1,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,6081,"Denver, CO","Dickinson, ND",CO,ND,L,488,1,0,1,2017,2,6
23500,100,200,165,41,0,0,DEN,ISN,675,1,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,6081,"Denver, CO","Williston, ND",CO,ND,L,576,2,0,2,2017,2,6
10841,50,91,82,35,0,0,DIK,DEN,675,1,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,6081,"Dickinson, ND","Denver, CO",ND,CO,L,488,1,0,1,2017,2,6
12659,50,131,116,22,0,0,EGE,STL,675,1,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,6081,"Eagle, CO","St. Louis, MO",CO,MO,L,889,2,0,1,2017,2,6
10808,50,143,124,38,0,0,STL,EGE,675,1,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,6081,"St. Louis, MO","Eagle, CO",MO,CO,L,889,2,0,1,2017,2,6
12659,50,206,196,0,0,0,USA,EGE,675,1,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,6081,"CONCORD, NC","Eagle, CO",NC,CO,L,1464,3,0,1,2017,2,6
21458,0,178,168,0,800,0,ATL,DEN,635,2,Ameristar Air Cargo,6055,"Atlanta, GA","Denver, CO",GA,CO,P,1199,3,0,1,2017,2,6
21458,0,181,167,0,0,0,DEN,GSP,635,2,Ameristar Air Cargo,6055,"Denver, CO","Greer, SC",CO,SC,P,1278,3,0,1,2017,2,6
95000,215,132,120,156,0,0,COS,VCV,622,1,Allegiant Air,6035,"Colorado Springs, CO","Victorville, CA",CO,CA,L,761,2,0,1,2017,2,6
95000,215,96,72,0,0,0,LAS,COS,622,1,Allegiant Air,6035,"Las Vegas, NV","Colorado Springs, CO",NV,CO,L,604,2,0,1,2017,2,6
2000,8,122,113,3,0,0,ASE,BUR,684,1,Avjet Corporation,1150,"Aspen, CO","Burbank, CA",CO,CA,L,725,2,0,1,2017,2,6
4000,16,234,210,4,0,0,BUR,EGE,684,1,Avjet Corporation,1150,"Burbank, CA","Eagle, CO",CA,CO,L,735,2,0,2,2017,2,6
4000,16,233,209,3,0,0,EGE,BUR,684,1,Avjet Corporation,1150,"Eagle, CO","Burbank, CA",CO,CA,L,735,2,0,2,2017,2,6
2000,8,54,47,2,0,0,SLC,ASE,684,1,Avjet Corporation,1150,"Salt Lake City, UT","Aspen, CO",UT,CO,L,292,1,0,1,2017,2,6
51700,187,164,88,62,0,0,DEN,PHX,699,1,American Airlines Inc.,0A050,"Denver, CO","Phoenix, AZ",CO,AZ,L,602,2,0,1,2017,2,6
51700,187,260,216,56,0,0,PHL,DEN,699,1,American Airlines Inc.,0A050,"Philadelphia, PA","Denver, CO",PA,CO,L,1558,4,0,1,2017,2,6
49760,199,169,152,160,0,0,ATL,COS,622,1,Delta Air Lines Inc.,1260,"Atlanta, GA","Colorado Springs, CO",GA,CO,F,1184,3,0,1,2017,2,6
34446,132,212,172,30,0,0,ATL,DEN,698,1,Delta Air Lines Inc.,1260,"Atlanta, GA","Denver, CO",GA,CO,F,1199,3,0,1,2017,2,6
50700,192,174,156,150,14,39,ATL,DEN,699,1,Delta Air Lines Inc.,1260,"Atlanta, GA","Denver, CO",GA,CO,F,1199,3,0,1,2017,2,6
49760,199,166,148,160,0,0,COS,ATL,622,1,Delta Air Lines Inc.,1260,"Colorado Springs, CO","Atlanta, GA",CO,GA,F,1184,3,0,1,2017,2,6
38879,160,91,75,139,0,0,COS,DFW,694,1,Delta Air Lines Inc.,1260,"Colorado Springs, CO","Dallas/Fort Worth, TX",CO,TX,F,592,2,0,1,2017,2,6
29900,110,83,54,103,492,0,CPR,DEN,608,1,Delta Air Lines Inc.,1260,"Casper, WY","Denver, CO",WY,CO,F,230,1,0,1,2017,2,6
