ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,Origin,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,Dest,DEST_WAC
12954,1295403,LGB,91,11292,1129202,DEN,82
11292,1129202,DEN,82,14771,1477102,SFO,91
14771,1477102,SFO,91,11292,1129202,DEN,82
11423,1142304,DSM,61,10325,1032504,APA,82
11292,1129202,DEN,82,11315,1131502,DIK,66
11292,1129202,DEN,82,12389,1238902,ISN,66
11315,1131502,DIK,66,11292,1129202,DEN,82
11503,1150303,EGE,82,15016,1501603,STL,64
15016,1501603,STL,64,11503,1150303,EGE,82
12544,1254403,USA,36,11503,1150303,EGE,82
10397,1039705,ATL,34,11292,1129202,DEN,82
11292,1129202,DEN,82,11996,1199603,GSP,37
11109,1110902,COS,82,15570,1557001,VCV,91
12889,1288903,LAS,85,11109,1110902,COS,82
10372,1037203,ASE,82,10800,1080003,BUR,91
10800,1080003,BUR,91,11503,1150303,EGE,82
11503,1150303,EGE,82,10800,1080003,BUR,91
14869,1486903,SLC,87,10372,1037203,ASE,82
11292,1129202,DEN,82,14107,1410702,PHX,81
14100,1410002,PHL,23,11292,1129202,DEN,82
10397,1039705,ATL,34,11109,1110902,COS,82
11109,1110902,COS,82,10397,1039705,ATL,34
11109,1110902,COS,82,11298,1129804,DFW,74
11122,1112203,CPR,88,11292,1129202,DEN,82
11292,1129202,DEN,82,10397,1039705,ATL,34
11292,1129202,DEN,82,11193,1119302,CVG,52
11292,1129202,DEN,82,11433,1143302,DTW,43
11292,1129202,DEN,82,11775,1177502,FSD,67
11292,1129202,DEN,82,12889,1288903,LAS,85
11292,1129202,DEN,82,14679,1467903,SAN,91
11292,1129202,DEN,82,14869,1486903,SLC,87
11433,1143302,DTW,43,11292,1129202,DEN,82
13487,1348702,MSP,63,11292,1129202,DEN,82
13851,1385103,OKC,73,11292,1129202,DEN,82
14869,1486903,SLC,87,11292,1129202,DEN,82
10529,1052904,BDL,11,11292,1129202,DEN,82
11109,1110902,COS,82,16091,1609103,YIP,43
13796,1379604,OAK,91,11109,1110902,COS,82
10558,1055803,BFF,65,11292,1129202,DEN,82
11292,1129202,DEN,82,11042,1104203,CLE,44
11292,1129202,DEN,82,12448,1244805,JAN,53
11292,1129202,DEN,82,12892,1289205,LAX,91
11292,1129202,DEN,82,13303,1330303,MIA,33
11292,1129202,DEN,82,14524,1452401,RIC,38
13341,1334102,MKC,64,11292,1129202,DEN,82
11109,1110902,COS,82,11292,1129202,DEN,82
11233,1123302,CYS,88,11292,1129202,DEN,82
11259,1125903,DAL,74,11109,1110902,COS,82
11292,1129202,DEN,82,10792,1079204,BUF,22
11292,1129202,DEN,82,11140,1114006,CRP,74
11292,1129202,DEN,82,11481,1148102,ECP,33
11292,1129202,DEN,82,11973,1197302,GPT,53
11292,1129202,DEN,82,12896,1289605,LBB,74
11292,1129202,DEN,82,12992,1299204,LIT,71
14831,1483104,SJC,91,11109,1110902,COS,82
10325,1032504,APA,82,10423,1042302,AUS,74
10325,1032504,APA,82,13930,1393004,ORD,41
10325,1032504,APA,82,14831,1483104,SJC,91
10423,1042302,AUS,74,10325,1032504,APA,82
11066,1106603,CMH,44,10325,1032504,APA,82
14792,1479201,SGR,74,10372,1037203,ASE,82
10466,1046602,AZA,81,11292,1129202,DEN,82
10747,1074702,BRO,74,11292,1129202,DEN,82
11292,1129202,DEN,82,13796,1379604,OAK,91
11292,1129202,DEN,82,14275,1427502,PTK,43
11563,1156303,ENV,87,11921,1192102,GJT,82
11921,1192102,GJT,82,11563,1156303,ENV,87
14576,1457604,ROC,22,11292,1129202,DEN,82
15370,1537002,TUL,73,11292,1129202,DEN,82
11376,1137601,DPA,41,11292,1129202,DEN,82
11292,1129202,DEN,82,13342,1334205,MKE,45
14570,1457002,RNO,85,11292,1129202,DEN,82
11292,1129202,DEN,82,10590,1059004,IFP,81
11719,1171902,FNL,82,10590,1059004,IFP,81
10590,1059004,IFP,81,11292,1129202,DEN,82
10590,1059004,IFP,81,11719,1171902,FNL,82
10590,1059004,IFP,81,13502,1350202,MTJ,82
10590,1059004,IFP,81,14288,1428803,PUB,82
13502,1350202,MTJ,82,10590,1059004,IFP,81
14288,1428803,PUB,82,10590,1059004,IFP,81
11840,1184002,GAD,51,14288,1428803,PUB,82
14288,1428803,PUB,82,13796,1379604,OAK,91
11193,1119302,CVG,52,11292,1129202,DEN,82
14747,1474703,SEA,93,11109,1110902,COS,82
11292,1129202,DEN,82,13851,1385103,OKC,73
10325,1032504,APA,82,11292,1129202,DEN,82
11283,1128302,DDC,62,11292,1129202,DEN,82
11292,1129202,DEN,82,10558,1055803,BFF,65
11292,1129202,DEN,82,11283,1128302,DDC,62
11292,1129202,DEN,82,11292,1129202,DEN,82
11292,1129202,DEN,82,11468,1146802,EAR,65
11292,1129202,DEN,82,12899,1289902,LBF,65
11292,1129202,DEN,82,12902,1290203,LBL,62
11468,1146802,EAR,65,11292,1129202,DEN,82
12899,1289902,LBF,65,11292,1129202,DEN,82
12902,1290203,LBL,62,10325,1032504,APA,82
12902,1290203,LBL,62,11292,1129202,DEN,82
11292,1129202,DEN,82,14081,1408102,PGA,81
14288,1428803,PUB,82,11711,1171102,FMN,86
11292,1129202,DEN,82,10409,1040903,ATY,67
12389,1238902,ISN,66,11292,1129202,DEN,82
11921,1192102,GJT,82,12889,1288903,LAS,85
12889,1288903,LAS,85,11921,1192102,GJT,82
11109,1110902,COS,82,12278,1227803,ICT,62
11292,1129202,DEN,82,10721,1072102,BOS,13
13204,1320402,MCO,33,11292,1129202,DEN,82
13930,1393004,ORD,41,11109,1110902,COS,82
14492,1449202,RDU,36,11292,1129202,DEN,82
14869,1486903,SLC,87,11109,1110902,COS,82
11292,1129202,DEN,82,13487,1348702,MSP,63
11292,1129202,DEN,82,15370,1537002,TUL,73
11986,1198603,GRR,43,11292,1129202,DEN,82
11097,1109702,COD,88,11292,1129202,DEN,82
11109,1110902,COS,82,12992,1299204,LIT,71
11109,1110902,COS,82,13486,1348602,MSO,84
11109,1110902,COS,82,15376,1537602,TUS,81
11278,1127803,DCA,38,11109,1110902,COS,82
11292,1129202,DEN,82,10140,1014003,ABQ,86
11292,1129202,DEN,82,10423,1042302,AUS,74
11292,1129202,DEN,82,11003,1100303,CID,61
11292,1129202,DEN,82,11097,1109702,COD,88
11292,1129202,DEN,82,11122,1112203,CPR,88
11292,1129202,DEN,82,11298,1129804,DFW,74
11292,1129202,DEN,82,11986,1198603,GRR,43
11292,1129202,DEN,82,12266,1226603,IAH,74
11292,1129202,DEN,82,12441,1244102,JAC,88
11292,1129202,DEN,82,13264,1326403,MFR,92
11292,1129202,DEN,82,13871,1387102,OMA,65
11292,1129202,DEN,82,13930,1393004,ORD,41
11292,1129202,DEN,82,14489,1448902,RDM,92
11292,1129202,DEN,82,14730,1473003,SDF,52
11292,1129202,DEN,82,14908,1490803,SNA,91
11292,1129202,DEN,82,15041,1504102,SUN,83
11298,1129804,DFW,74,11109,1110902,COS,82
11921,1192102,GJT,82,12892,1289205,LAX,91
12266,1226603,IAH,74,11292,1129202,DEN,82
12441,1244102,JAC,88,11292,1129202,DEN,82
12888,1288802,LAR,88,11292,1129202,DEN,82
12892,1289205,LAX,91,11292,1129202,DEN,82
12992,1299204,LIT,71,11292,1129202,DEN,82
13264,1326403,MFR,92,11292,1129202,DEN,82
13486,1348602,MSO,84,11109,1110902,COS,82
13930,1393004,ORD,41,11292,1129202,DEN,82
14057,1405702,PDX,92,11292,1129202,DEN,82
14252,1425202,PSC,93,11921,1192102,GJT,82
14679,1467903,SAN,91,11292,1129202,DEN,82
14683,1468303,SAT,74,11292,1129202,DEN,82
14794,1479403,SGU,87,11109,1110902,COS,82
14893,1489302,SMF,91,11292,1129202,DEN,82
14908,1490803,SNA,91,11292,1129202,DEN,82
10140,1014003,ABQ,86,11292,1129202,DEN,82
10721,1072102,BOS,13,11292,1129202,DEN,82
10849,1084903,BZN,84,11292,1129202,DEN,82
11292,1129202,DEN,82,10620,1062002,BIL,84
11292,1129202,DEN,82,10849,1084903,BZN,84
11292,1129202,DEN,82,11697,1169704,FLL,33
11292,1129202,DEN,82,12264,1226402,IAD,38
11292,1129202,DEN,82,13198,1319801,MCI,64
11292,1129202,DEN,82,13204,1320402,MCO,33
11292,1129202,DEN,82,14100,1410002,PHL,23
11292,1129202,DEN,82,14262,1426204,PSP,91
11292,1129202,DEN,82,14570,1457002,RNO,85
11292,1129202,DEN,82,15016,1501603,STL,64
12264,1226402,IAD,38,11292,1129202,DEN,82
13198,1319801,MCI,64,11292,1129202,DEN,82
14262,1426204,PSP,91,11292,1129202,DEN,82
14524,1452401,RIC,38,11292,1129202,DEN,82
14689,1468902,SBA,91,11292,1129202,DEN,82
15016,1501603,STL,64,11292,1129202,DEN,82
10994,1099402,CHS,37,11292,1129202,DEN,82
11042,1104203,CLE,44,11292,1129202,DEN,82
11292,1129202,DEN,82,10713,1071302,BOI,83
11292,1129202,DEN,82,14057,1405702,PDX,92
11292,1129202,DEN,82,14635,1463502,RSW,33
13495,1349503,MSY,72,11292,1129202,DEN,82
14122,1412202,PIT,23,11292,1129202,DEN,82
