year,month,quarter,Departures_Scheduled,Departures_Performed
2017,2,6,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,2
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,2
,,,0,2
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,2
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,2
,,,0,2
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,2
,,,0,1
,,,0,1
,,,0,1
,,,0,3
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,2
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,22
,,,0,22
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,1
,,,0,44
,,,0,19
,,,0,45
,,,0,23
,,,0,3
,,,0,56
,,,0,48
,,,0,19
,,,0,56
,,,0,48
,,,0,1
,,,0,21
,,,0,1
,,,0,1
,,,0,1
,,,1,1
,,,1,1
,,,1,1
,,,1,3
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,2
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,2
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
,,,1,1
