Aircraft_Group,Aircraft_Type,Aircraft_Config,LineNUM
6,694,1,1
6,698,1,2
6,698,1,3
6,646,1,4
6,675,1,5
6,675,1,6
6,675,1,7
6,675,1,8
6,675,1,9
6,675,1,10
6,635,2,11
6,635,2,12
6,622,1,13
6,622,1,14
6,684,1,15
6,684,1,16
6,684,1,17
6,684,1,18
6,699,1,19
6,699,1,20
6,622,1,21
6,698,1,22
6,699,1,23
6,622,1,24
6,694,1,25
6,608,1,26
6,698,1,27
6,699,1,28
6,622,1,29
6,622,1,30
6,655,1,31
6,656,1,32
6,656,1,33
6,656,1,34
6,622,1,35
6,655,1,36
6,622,1,37
6,656,1,38
6,622,1,39
6,622,1,40
6,614,1,41
6,614,1,42
6,614,1,43
6,698,1,44
6,614,1,45
6,614,1,46
6,698,1,47
6,634,1,48
6,614,1,49
6,634,1,50
8,887,1,51
6,612,1,52
6,612,1,53
6,614,1,54
6,612,1,55
6,612,1,56
6,614,1,57
6,614,1,58
6,612,1,59
6,612,1,60
6,612,1,61
6,614,1,62
6,612,1,63
6,614,1,64
5,515,1,65
5,515,1,66
6,688,1,67
5,515,1,68
6,688,1,69
5,515,1,70
6,625,1,71
6,617,1,72
6,617,1,73
6,617,1,74
6,617,1,75
6,617,1,76
6,617,1,77
6,617,1,78
6,617,1,79
6,617,1,80
6,635,2,81
6,635,2,82
6,669,1,83
6,669,1,84
6,614,1,85
6,614,1,86
6,614,1,87
6,614,1,88
6,614,1,89
6,614,1,90
6,614,1,91
6,614,1,92
6,681,2,93
6,681,2,94
6,617,2,95
6,617,2,96
6,634,1,97
6,634,1,98
6,675,1,99
6,675,1,100
4,456,1,101
4,456,1,102
4,456,1,103
4,456,1,104
4,456,1,105
4,456,1,106
4,456,1,107
4,456,1,108
4,456,1,109
4,456,1,110
4,456,1,111
4,456,1,112
4,456,1,113
4,405,1,114
4,405,1,115
4,479,1,116
6,675,1,117
6,675,1,118
6,675,1,119
6,675,1,120
6,698,1,121
6,698,1,122
6,614,1,123
6,614,1,124
6,655,1,125
6,699,1,126
6,699,1,127
6,614,1,128
6,699,1,129
6,614,1,130
6,614,1,131
6,699,1,132
6,614,1,133
6,608,1,134
6,608,1,135
6,694,1,136
6,614,1,137
6,614,1,138
6,608,1,139
6,694,1,140
6,631,1,141
6,631,1,142
6,629,1,143
6,629,1,144
6,629,1,145
6,629,1,146
6,629,1,147
6,673,1,148
6,631,1,149
6,631,1,150
6,673,1,151
6,673,1,152
6,629,1,153
6,629,1,154
6,631,1,155
6,673,1,156
6,673,1,157
6,631,1,158
6,631,1,159
6,631,1,160
6,631,1,161
6,673,1,162
6,629,1,163
6,673,1,164
6,629,1,165
6,629,1,166
6,631,1,167
6,631,1,168
6,673,1,169
6,673,1,170
6,631,1,171
6,629,1,172
6,631,1,173
6,673,1,174
