ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,Origin,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,Dest,DEST_WAC,LineNUM
12954,1295403,LGB,91,11292,1129202,DEN,82,1
11292,1129202,DEN,82,14771,1477102,SFO,91,2
14771,1477102,SFO,91,11292,1129202,DEN,82,3
11423,1142304,DSM,61,10325,1032504,APA,82,4
11292,1129202,DEN,82,11315,1131502,DIK,66,5
11292,1129202,DEN,82,12389,1238902,ISN,66,6
11315,1131502,DIK,66,11292,1129202,DEN,82,7
11503,1150303,EGE,82,15016,1501603,STL,64,8
15016,1501603,STL,64,11503,1150303,EGE,82,9
12544,1254403,USA,36,11503,1150303,EGE,82,10
10397,1039705,ATL,34,11292,1129202,DEN,82,11
11292,1129202,DEN,82,11996,1199603,GSP,37,12
11109,1110902,COS,82,15570,1557001,VCV,91,13
12889,1288903,LAS,85,11109,1110902,COS,82,14
10372,1037203,ASE,82,10800,1080003,BUR,91,15
10800,1080003,BUR,91,11503,1150303,EGE,82,16
11503,1150303,EGE,82,10800,1080003,BUR,91,17
14869,1486903,SLC,87,10372,1037203,ASE,82,18
11292,1129202,DEN,82,14107,1410702,PHX,81,19
14100,1410002,PHL,23,11292,1129202,DEN,82,20
10397,1039705,ATL,34,11109,1110902,COS,82,21
10397,1039705,ATL,34,11292,1129202,DEN,82,22
10397,1039705,ATL,34,11292,1129202,DEN,82,23
11109,1110902,COS,82,10397,1039705,ATL,34,24
11109,1110902,COS,82,11298,1129804,DFW,74,25
11122,1112203,CPR,88,11292,1129202,DEN,82,26
11292,1129202,DEN,82,10397,1039705,ATL,34,27
11292,1129202,DEN,82,10397,1039705,ATL,34,28
11292,1129202,DEN,82,10397,1039705,ATL,34,29
11292,1129202,DEN,82,11193,1119302,CVG,52,30
11292,1129202,DEN,82,11433,1143302,DTW,43,31
11292,1129202,DEN,82,11775,1177502,FSD,67,32
11292,1129202,DEN,82,12889,1288903,LAS,85,33
11292,1129202,DEN,82,14679,1467903,SAN,91,34
11292,1129202,DEN,82,14869,1486903,SLC,87,35
11433,1143302,DTW,43,11292,1129202,DEN,82,36
13487,1348702,MSP,63,11292,1129202,DEN,82,37
13851,1385103,OKC,73,11292,1129202,DEN,82,38
14771,1477102,SFO,91,11292,1129202,DEN,82,39
14869,1486903,SLC,87,11292,1129202,DEN,82,40
10529,1052904,BDL,11,11292,1129202,DEN,82,41
11109,1110902,COS,82,16091,1609103,YIP,43,42
13796,1379604,OAK,91,11109,1110902,COS,82,43
10558,1055803,BFF,65,11292,1129202,DEN,82,44
11292,1129202,DEN,82,11042,1104203,CLE,44,45
11292,1129202,DEN,82,12448,1244805,JAN,53,46
11292,1129202,DEN,82,12892,1289205,LAX,91,47
11292,1129202,DEN,82,13303,1330303,MIA,33,48
11292,1129202,DEN,82,14524,1452401,RIC,38,49
13341,1334102,MKC,64,11292,1129202,DEN,82,50
11292,1129202,DEN,82,14771,1477102,SFO,91,51
11109,1110902,COS,82,11292,1129202,DEN,82,52
11233,1123302,CYS,88,11292,1129202,DEN,82,53
11233,1123302,CYS,88,11292,1129202,DEN,82,54
11259,1125903,DAL,74,11109,1110902,COS,82,55
11292,1129202,DEN,82,10792,1079204,BUF,22,56
11292,1129202,DEN,82,11140,1114006,CRP,74,57
11292,1129202,DEN,82,11481,1148102,ECP,33,58
11292,1129202,DEN,82,11973,1197302,GPT,53,59
11292,1129202,DEN,82,11996,1199603,GSP,37,60
11292,1129202,DEN,82,12896,1289605,LBB,74,61
11292,1129202,DEN,82,12992,1299204,LIT,71,62
14831,1483104,SJC,91,11109,1110902,COS,82,63
11109,1110902,COS,82,11292,1129202,DEN,82,64
10325,1032504,APA,82,10423,1042302,AUS,74,65
10325,1032504,APA,82,13930,1393004,ORD,41,66
10325,1032504,APA,82,14831,1483104,SJC,91,67
10423,1042302,AUS,74,10325,1032504,APA,82,68
11066,1106603,CMH,44,10325,1032504,APA,82,69
14792,1479201,SGR,74,10372,1037203,ASE,82,70
11292,1129202,DEN,82,12889,1288903,LAS,85,71
10466,1046602,AZA,81,11292,1129202,DEN,82,72
10747,1074702,BRO,74,11292,1129202,DEN,82,73
11292,1129202,DEN,82,13796,1379604,OAK,91,74
11292,1129202,DEN,82,14275,1427502,PTK,43,75
11292,1129202,DEN,82,14869,1486903,SLC,87,76
11563,1156303,ENV,87,11921,1192102,GJT,82,77
11921,1192102,GJT,82,11563,1156303,ENV,87,78
14576,1457604,ROC,22,11292,1129202,DEN,82,79
15370,1537002,TUL,73,11292,1129202,DEN,82,80
11292,1129202,DEN,82,13796,1379604,OAK,91,81
11376,1137601,DPA,41,11292,1129202,DEN,82,82
11292,1129202,DEN,82,13342,1334205,MKE,45,83
14570,1457002,RNO,85,11292,1129202,DEN,82,84
11292,1129202,DEN,82,10590,1059004,IFP,81,85
11719,1171902,FNL,82,10590,1059004,IFP,81,86
10590,1059004,IFP,81,11292,1129202,DEN,82,87
10590,1059004,IFP,81,11719,1171902,FNL,82,88
10590,1059004,IFP,81,13502,1350202,MTJ,82,89
10590,1059004,IFP,81,14288,1428803,PUB,82,90
13502,1350202,MTJ,82,10590,1059004,IFP,81,91
14288,1428803,PUB,82,10590,1059004,IFP,81,92
11840,1184002,GAD,51,14288,1428803,PUB,82,93
14288,1428803,PUB,82,13796,1379604,OAK,91,94
11193,1119302,CVG,52,11292,1129202,DEN,82,95
11292,1129202,DEN,82,11193,1119302,CVG,52,96
11109,1110902,COS,82,11292,1129202,DEN,82,97
14747,1474703,SEA,93,11109,1110902,COS,82,98
10558,1055803,BFF,65,11292,1129202,DEN,82,99
11292,1129202,DEN,82,13851,1385103,OKC,73,100
10325,1032504,APA,82,11292,1129202,DEN,82,101
10558,1055803,BFF,65,11292,1129202,DEN,82,102
11283,1128302,DDC,62,11292,1129202,DEN,82,103
11292,1129202,DEN,82,10558,1055803,BFF,65,104
11292,1129202,DEN,82,11283,1128302,DDC,62,105
11292,1129202,DEN,82,11292,1129202,DEN,82,106
11292,1129202,DEN,82,11468,1146802,EAR,65,107
11292,1129202,DEN,82,12899,1289902,LBF,65,108
11292,1129202,DEN,82,12902,1290203,LBL,62,109
11468,1146802,EAR,65,11292,1129202,DEN,82,110
12899,1289902,LBF,65,11292,1129202,DEN,82,111
12902,1290203,LBL,62,10325,1032504,APA,82,112
12902,1290203,LBL,62,11292,1129202,DEN,82,113
11292,1129202,DEN,82,14081,1408102,PGA,81,114
14288,1428803,PUB,82,11711,1171102,FMN,86,115
11292,1129202,DEN,82,11292,1129202,DEN,82,116
10558,1055803,BFF,65,11292,1129202,DEN,82,117
11292,1129202,DEN,82,10409,1040903,ATY,67,118
11292,1129202,DEN,82,12389,1238902,ISN,66,119
12389,1238902,ISN,66,11292,1129202,DEN,82,120
11921,1192102,GJT,82,12889,1288903,LAS,85,121
12889,1288903,LAS,85,11921,1192102,GJT,82,122
11109,1110902,COS,82,11292,1129202,DEN,82,123
11109,1110902,COS,82,11298,1129804,DFW,74,124
11109,1110902,COS,82,12278,1227803,ICT,62,125
11292,1129202,DEN,82,10721,1072102,BOS,13,126
11292,1129202,DEN,82,12892,1289205,LAX,91,127
11292,1129202,DEN,82,12992,1299204,LIT,71,128
13204,1320402,MCO,33,11292,1129202,DEN,82,129
13930,1393004,ORD,41,11109,1110902,COS,82,130
14492,1449202,RDU,36,11292,1129202,DEN,82,131
14771,1477102,SFO,91,11292,1129202,DEN,82,132
14869,1486903,SLC,87,11109,1110902,COS,82,133
11292,1129202,DEN,82,12892,1289205,LAX,91,134
11292,1129202,DEN,82,13487,1348702,MSP,63,135
11292,1129202,DEN,82,13487,1348702,MSP,63,136
11292,1129202,DEN,82,14869,1486903,SLC,87,137
11433,1143302,DTW,43,11292,1129202,DEN,82,138
13487,1348702,MSP,63,11292,1129202,DEN,82,139
13487,1348702,MSP,63,11292,1129202,DEN,82,140
11292,1129202,DEN,82,15370,1537002,TUL,73,141
11986,1198603,GRR,43,11292,1129202,DEN,82,142
11097,1109702,COD,88,11292,1129202,DEN,82,143
11109,1110902,COS,82,12992,1299204,LIT,71,144
11109,1110902,COS,82,13486,1348602,MSO,84,145
11109,1110902,COS,82,15376,1537602,TUS,81,146
