UNIQUE_CARRIER,Unique_Carrier_Name,Unique_Carrier_Entity________,Carrier_Name,Carrier_Group,Carrier_Group_New,Airline_ID,Region,Carrier,DEST_AIRPORT_ID,ORIGIN_AIRPORT_ID,LineNUM
B6,JetBlue Airways,6673,JetBlue Airways,3,3,20409,D,B6,11292,12954,1
VX,Virgin America,1006,Virgin America,3,3,21171,D,VX,14771,11292,2
VX,Virgin America,1006,Virgin America,3,3,21171,D,VX,11292,14771,3
04Q,Tradewind Aviation,1126,Tradewind Aviation,1,6,21080,D,04Q,10325,11423,4
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5,20354,D,AJQ,11315,11292,5
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5,20354,D,AJQ,12389,11292,6
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5,20354,D,AJQ,11292,11315,7
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5,20354,D,AJQ,15016,11503,8
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5,20354,D,AJQ,11503,15016,9
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5,20354,D,AJQ,11503,12544,10
AMQ,Ameristar Air Cargo,6055,Ameristar Air Cargo,1,4,20201,D,AMQ,11292,10397,11
AMQ,Ameristar Air Cargo,6055,Ameristar Air Cargo,1,4,20201,D,AMQ,11996,11292,12
G4,Allegiant Air,6035,Allegiant Air,3,3,20368,D,G4,15570,11109,13
G4,Allegiant Air,6035,Allegiant Air,3,3,20368,D,G4,11109,12889,14
0WQ,Avjet Corporation,1150,Avjet Corporation,1,1,21352,D,0WQ,10800,10372,15
0WQ,Avjet Corporation,1150,Avjet Corporation,1,1,21352,D,0WQ,11503,10800,16
0WQ,Avjet Corporation,1150,Avjet Corporation,1,1,21352,D,0WQ,10800,11503,17
0WQ,Avjet Corporation,1150,Avjet Corporation,1,1,21352,D,0WQ,10372,14869,18
AA,American Airlines Inc.,0A050,American Airlines Inc.,3,3,19805,D,AA,14107,11292,19
AA,American Airlines Inc.,0A050,American Airlines Inc.,3,3,19805,D,AA,11292,14100,20
DL,Delta Air Lines Inc.,1260,Delta Air Lines Inc.,3,3,19790,D,DL,11109,10397,21
DL,Delta Air Lines Inc.,1260,Delta Air Lines Inc.,3,3,19790,D,DL,11292,10397,22
DL,Delta Air Lines Inc.,1260,Delta Air Lines Inc.,3,3,19790,D,DL,11292,10397,23
DL,Delta Air Lines Inc.,1260,Delta Air Lines Inc.,3,3,19790,D,DL,10397,11109,24
DL,Delta Air Lines Inc.,1260,Delta Air Lines Inc.,3,3,19790,D,DL,11298,11109,25
DL,Delta Air Lines Inc.,1260,Delta Air Lines Inc.,3,3,19790,D,DL,11292,11122,26
