12954,11292,"Long Beach, CA","Denver, CO",854,6673,1,R1
11292,14771,"Denver, CO","San Francisco, CA",967,1006,2,R2
14771,11292,"San Francisco, CA","Denver, CO",967,1006,3,R3
11423,10325,"Des Moines, IA","Denver, CO",604,1126,4,R4
11292,11315,"Denver, CO","Dickinson, ND",488,6081,5,R5
11292,12389,"Denver, CO","Williston, ND",576,6081,6,R6
11315,11292,"Dickinson, ND","Denver, CO",488,6081,7,R7
11503,15016,"Eagle, CO","St. Louis, MO",889,6081,8,R8
15016,11503,"St. Louis, MO","Eagle, CO",889,6081,9,R9
12544,11503,"CONCORD, NC","Eagle, CO",1464,6081,10,R10
10397,11292,"Atlanta, GA","Denver, CO",1199,6055,11,R11
11292,11996,"Denver, CO","Greer, SC",1278,6055,12,R12
11109,15570,"Colorado Springs, CO","Victorville, CA",761,6035,13,R13
12889,11109,"Las Vegas, NV","Colorado Springs, CO",604,6035,14,R14
10372,10800,"Aspen, CO","Burbank, CA",725,1150,15,R15
10800,11503,"Burbank, CA","Eagle, CO",735,1150,16,R16
11503,10800,"Eagle, CO","Burbank, CA",735,1150,17,R17
14869,10372,"Salt Lake City, UT","Aspen, CO",292,1150,18,R18
11292,14107,"Denver, CO","Phoenix, AZ",602,0A050,19,R19
14100,11292,"Philadelphia, PA","Denver, CO",1558,0A050,20,R20
10397,11109,"Atlanta, GA","Colorado Springs, CO",1184,1260,21,R21
10397,11292,"Atlanta, GA","Denver, CO",1199,1260,22,R22
10397,11292,"Atlanta, GA","Denver, CO",1199,1260,23,R23
11109,10397,"Colorado Springs, CO","Atlanta, GA",1184,1260,24,R24
11109,11298,"Colorado Springs, CO","Dallas/Fort Worth, TX",592,1260,25,R25
11122,11292,"Casper, WY","Denver, CO",230,1260,26,R26
11292,10397,"Denver, CO","Atlanta, GA",1199,1260,27,R27
11292,10397,"Denver, CO","Atlanta, GA",1199,1260,28,R28
11292,10397,"Denver, CO","Atlanta, GA",1199,1260,29,R29
