DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
0,1,37400,150,146,0,0,854,124,107,B6,20409,JetBlue Airways,6673,D,B6,JetBlue Airways,3,3,12954,1295403,32575,LGB,"Long Beach, CA",CA,6,California,91,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,6,694,1,2017,2,6,2,F
0,1,37822,119,117,0,0,967,144,125,VX,21171,Virgin America,1006,D,VX,Virgin America,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,14771,1477102,32457,SFO,"San Francisco, CA",CA,6,California,91,6,698,1,2017,2,6,2,F
0,1,37822,119,119,0,0,967,162,121,VX,21171,Virgin America,1006,D,VX,Virgin America,3,3,14771,1477102,32457,SFO,"San Francisco, CA",CA,6,California,91,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,6,698,1,2017,2,6,2,F
0,1,5300,8,2,0,0,604,120,108,04Q,21080,Tradewind Aviation,1126,D,04Q,Tradewind Aviation,1,6,11423,1142304,31423,DSM,"Des Moines, IA",IA,19,Iowa,61,10325,1032504,30325,APA,"Denver, CO",CO,8,Colorado,82,6,646,1,2017,2,6,2,L
0,1,10841,50,43,0,0,488,91,72,AJQ,20354,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,6081,D,AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,11315,1131502,31315,DIK,"Dickinson, ND",ND,38,North Dakota,66,6,675,1,2017,2,6,1,L
0,2,23500,100,41,0,0,576,200,165,AJQ,20354,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,6081,D,AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,12389,1238902,32389,ISN,"Williston, ND",ND,38,North Dakota,66,6,675,1,2017,2,6,2,L
0,1,10841,50,35,0,0,488,91,82,AJQ,20354,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,6081,D,AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5,11315,1131502,31315,DIK,"Dickinson, ND",ND,38,North Dakota,66,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,6,675,1,2017,2,6,1,L
0,1,12659,50,22,0,0,889,131,116,AJQ,20354,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,6081,D,AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5,11503,1150303,31503,EGE,"Eagle, CO",CO,8,Colorado,82,15016,1501603,31123,STL,"St. Louis, MO",MO,29,Missouri,64,6,675,1,2017,2,6,2,L
0,1,10808,50,38,0,0,889,143,124,AJQ,20354,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,6081,D,AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5,15016,1501603,31123,STL,"St. Louis, MO",MO,29,Missouri,64,11503,1150303,31503,EGE,"Eagle, CO",CO,8,Colorado,82,6,675,1,2017,2,6,2,L
0,1,12659,50,0,0,0,1464,206,196,AJQ,20354,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,6081,D,AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5,12544,1254403,32544,USA,"CONCORD, NC",NC,37,North Carolina,36,11503,1150303,31503,EGE,"Eagle, CO",CO,8,Colorado,82,6,675,1,2017,2,6,3,L
0,1,21458,0,0,800,0,1199,178,168,AMQ,20201,Ameristar Air Cargo,6055,D,AMQ,Ameristar Air Cargo,1,4,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,6,635,2,2017,2,6,3,P
0,1,21458,0,0,0,0,1278,181,167,AMQ,20201,Ameristar Air Cargo,6055,D,AMQ,Ameristar Air Cargo,1,4,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,11996,1199603,31871,GSP,"Greer, SC",SC,45,South Carolina,37,6,635,2,2017,2,6,3,P
0,1,95000,215,156,0,0,761,132,120,G4,20368,Allegiant Air,6035,D,G4,Allegiant Air,3,3,11109,1110902,30189,COS,"Colorado Springs, CO",CO,8,Colorado,82,15570,1557001,35570,VCV,"Victorville, CA",CA,6,California,91,6,622,1,2017,2,6,2,L
0,1,95000,215,0,0,0,604,96,72,G4,20368,Allegiant Air,6035,D,G4,Allegiant Air,3,3,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,11109,1110902,30189,COS,"Colorado Springs, CO",CO,8,Colorado,82,6,622,1,2017,2,6,2,L
0,1,2000,8,3,0,0,725,122,113,0WQ,21352,Avjet Corporation,1150,D,0WQ,Avjet Corporation,1,1,10372,1037203,30372,ASE,"Aspen, CO",CO,8,Colorado,82,10800,1080003,32575,BUR,"Burbank, CA",CA,6,California,91,6,684,1,2017,2,6,2,L
