ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,LineNUM
CA,6,California,CO,8,Colorado,1
CO,8,Colorado,CA,6,California,2
CA,6,California,CO,8,Colorado,3
IA,19,Iowa,CO,8,Colorado,4
CO,8,Colorado,ND,38,North Dakota,5
CO,8,Colorado,ND,38,North Dakota,6
ND,38,North Dakota,CO,8,Colorado,7
CO,8,Colorado,MO,29,Missouri,8
MO,29,Missouri,CO,8,Colorado,9
NC,37,North Carolina,CO,8,Colorado,10
GA,13,Georgia,CO,8,Colorado,11
CO,8,Colorado,SC,45,South Carolina,12
CO,8,Colorado,CA,6,California,13
NV,32,Nevada,CO,8,Colorado,14
CO,8,Colorado,CA,6,California,15
CA,6,California,CO,8,Colorado,16
CO,8,Colorado,CA,6,California,17
UT,49,Utah,CO,8,Colorado,18
CO,8,Colorado,AZ,4,Arizona,19
PA,42,Pennsylvania,CO,8,Colorado,20
GA,13,Georgia,CO,8,Colorado,21
GA,13,Georgia,CO,8,Colorado,22
GA,13,Georgia,CO,8,Colorado,23
CO,8,Colorado,GA,13,Georgia,24
CO,8,Colorado,TX,48,Texas,25
WY,56,Wyoming,CO,8,Colorado,26
CO,8,Colorado,GA,13,Georgia,27
CO,8,Colorado,GA,13,Georgia,28
CO,8,Colorado,GA,13,Georgia,29
CO,8,Colorado,KY,21,Kentucky,30
CO,8,Colorado,MI,26,Michigan,31
CO,8,Colorado,SD,46,South Dakota,32
CO,8,Colorado,NV,32,Nevada,33
CO,8,Colorado,CA,6,California,34
CO,8,Colorado,UT,49,Utah,35
MI,26,Michigan,CO,8,Colorado,36
MN,27,Minnesota,CO,8,Colorado,37
OK,40,Oklahoma,CO,8,Colorado,38
CA,6,California,CO,8,Colorado,39
UT,49,Utah,CO,8,Colorado,40
CT,9,Connecticut,CO,8,Colorado,41
CO,8,Colorado,MI,26,Michigan,42
CA,6,California,CO,8,Colorado,43
NE,31,Nebraska,CO,8,Colorado,44
CO,8,Colorado,OH,39,Ohio,45
CO,8,Colorado,MS,28,Mississippi,46
CO,8,Colorado,CA,6,California,47
CO,8,Colorado,FL,12,Florida,48
CO,8,Colorado,VA,51,Virginia,49
MO,29,Missouri,CO,8,Colorado,50
CO,8,Colorado,CA,6,California,51
CO,8,Colorado,CO,8,Colorado,52
WY,56,Wyoming,CO,8,Colorado,53
WY,56,Wyoming,CO,8,Colorado,54
TX,48,Texas,CO,8,Colorado,55
CO,8,Colorado,NY,36,New York,56
CO,8,Colorado,TX,48,Texas,57
CO,8,Colorado,FL,12,Florida,58
CO,8,Colorado,MS,28,Mississippi,59
