state,total,male,female,white,black,amind,asian,hawaiian,other,mixed
"Alabama",4779736,2320188,2459548,3275394,1251311,28218,53595,3057,96910,71251
"Alaska",710231,369628,340603,473576,23263,104871,38135,7409,11102,51875
"Arizona",6392017,3175823,3216194,4667121,259008,296529,176695,12648,761716,218300
"Arkansas",2915918,1431637,1484281,2245229,449895,22248,36102,5863,99571,57010
"California",37253956,18517830,18736126,21453934,2299072,362801,4861007,144386,6317372,1815384
"Colorado",5029196,2520662,2508534,4089202,201737,56010,139028,6623,364140,172456
"Connecticut",3574097,1739614,1834483,2772410,362296,11256,135565,1428,198466,92676
"Delaware",897934,434939,462995,618617,191814,4181,28549,400,30519,23854
"District of Columbia",601723,284222,317501,231471,305125,2079,21056,302,24374,17316
"Florida",18801310,9189355,9611955,14109162,2999862,71458,454821,12286,681144,472577
"Georgia",9687653,4729171,4958482,5787440,2950435,32151,314467,6799,388872,207489
"Hawaii",1360301,681243,679058,336599,21424,4164,525078,135422,16985,320629
"Idaho",1567582,785324,782258,1396487,9810,21441,19069,2317,79523,38935
"Illinois",12830632,6292276,6538356,9177877,1866414,43963,586934,4050,861412,289982
"Indiana",6483802,3189737,3294065,5467906,591397,18462,102474,2348,173314,127901
"Iowa",3046355,1508319,1538036,2781561,89148,11084,53094,2003,56132,53333
"Kansas",2853118,1415408,1437710,2391044,167864,28150,67762,2238,110127,85933
"Kentucky",4339367,2134952,2204415,3809537,337520,10120,48930,2501,55551,75208
"Louisiana",4533372,2219292,2314080,2836192,1452396,30579,70132,1963,69227,72883
"Maine",1328361,650056,678305,1264971,15707,8568,13571,342,4261,20941
"Maryland",5773552,2791762,2981790,3359284,1700298,20420,318853,3157,206832,164708
"Massachusetts",6547629,3166628,3381001,5265236,434398,18850,349768,2223,305151,172003
"Michigan",9883640,4848114,5035526,7803120,1400362,62007,238199,2604,147029,230319
"Minnesota",5303925,2632132,2671793,4524062,274412,60916,214234,2156,103000,125145
"Mississippi",2967297,1441240,1526057,1754684,1098385,15030,25742,1187,38162,34107
"Missouri",5988927,2933477,3055450,4958770,693391,27376,98083,6261,80457,124589
"Montana",989415,496667,492748,884961,4027,62555,6253,668,5975,24976
"Nebraska",1826341,906296,920045,1572838,82885,18427,32293,1279,79109,39510
"Nevada",2700551,1363616,1336935,1786688,218626,32062,195436,16871,324793,126075
"New Hampshire",1316470,649394,667076,1236050,15035,3150,28407,384,12062,21382
"New Jersey",8791894,4279600,4512294,6029248,1204826,29026,725726,3043,559722,240303
"New Mexico",2059179,1017421,1041758,1407876,42550,193222,28208,1810,308503,77010
"New York",19378102,9377147,10000955,12740974,3073800,106906,1420244,8766,1441563,585849
"North Carolina",9535483,4645492,4889991,6528950,2048628,122110,208962,6604,414030,206199
"North Dakota",672591,339864,332727,605449,7960,36591,6909,320,3509,11853
"Ohio",11536504,5632156,5904348,9539437,1407681,25292,192233,4066,130030,237765
"Oklahoma",3751351,1856977,1894374,2706845,277644,321687,65076,4369,154409,221321
"Oregon",3831074,1896002,1935072,3204614,69206,53203,141263,13404,204625,144759
"Pennsylvania",12702379,6190363,6512016,10406288,1377689,26843,349088,3653,300983,237835
"Rhode Island",1052567,508400,544167,856869,60189,6058,30457,554,63653,34787
"South Carolina",4625364,2250101,2375263,3060000,1290684,19524,59051,2706,113464,79935
"South Dakota",814180,407381,406799,699392,10207,71817,7610,394,7477,17283
"Tennessee",6346105,3093504,3252601,4921948,1057315,19994,91242,3642,141955,110009
"Texas",25145561,12472280,12673281,17701552,2979598,170972,964596,21656,2628186,679001
"Utah",2763885,1388317,1375568,2379560,29287,32927,55285,24554,166754,75518
"Vermont",625741,308206,317535,596292,6277,2207,7947,160,2105,10753
"Virginia",8001024,3925983,4075041,5486852,1551399,29225,439890,5980,254278,233400
"Washington",6724540,3349707,3374833,5196362,240042,103869,481067,40475,349799,312926
"West Virginia",1852994,913586,939408,1739988,63124,3787,12406,428,6119,27142
"Wisconsin",5686986,2822400,2864586,4902067,359148,54526,129234,1827,135867,104317
"Wyoming",563626,287437,276189,511279,4748,13336,4426,427,17049,12361
"Puerto Rico",3725789,1785171,1940618,2825100,461498,19839,6831,370,289905,122246
