"code","long","lat"
"00001",-158.08,59.88
"00002",-146.31,66.68
"00003",-157.21,57.49
"00004",-153.20,60.18
"00005",-154.60,60.57
"00006",-149.40,62.57
"00007",-152.40,69.00
"00008",-131.44,56.00
"00009",-153.65,61.54
"00010",-161.99,62.50
"00011",-150.52,59.94
"00012",-120.95,40.24
"00014",-113.02,32.18
"00015",-110.58,32.35
"00016",-118.35,35.50
"00017",-118.91,37.17
"00018",-119.07,34.61
"00019",-120.44,40.83
"00020",-119.27,37.59
"00022",-123.61,39.45
"00026",-118.46,36.25
"00027",-105.01,38.83
"00028",-121.34,39.99
"00029",-121.10,39.47
"00031",-121.13,40.37
"00032",-119.77,34.75
"00033",-120.47,39.54
"00034",-123.18,41.94
"00035",-121.79,41.46
"00037",-122.75,40.06
"00038",-121.71,40.14
"00039",-123.17,40.32
"00040",-119.61,37.98
"00041",-80.61,26.16
"00042",-80.79,27.99
"00043",-80.69,25.57
"00044",-119.83,38.51
"00045",-81.73,29.09
"00047",-122.73,39.62
"00048",-122.80,39.32
"00049",-123.77,41.56
"00050",-123.61,41.22
"00051",-120.36,38.89
"00052",-120.30,38.65
"00053",-80.55,26.47
"00054",-123.65,40.73
"00055",-123.24,40.97
"00056",-116.20,43.24
"00057",-119.74,34.01
"00058",-119.57,37.66
"00059",-92.78,48.40
"00060",-92.13,48.11
"00061",-119.50,33.24
"00063",-111.33,47.67
"00064",-107.03,35.66
"00065",-120.81,39.63
"00066",-106.52,32.73
"00067",-98.61,34.73
"00068",-123.94,44.20
"00069",-122.19,43.98
"00070",-121.96,45.08
"00071",-111.36,40.03
"00072",-121.36,48.81
"00073",-119.53,46.51
"00074",-120.92,46.23
"00075",-111.07,44.90
"00076",-120.40,48.84
"00077",-122.20,44.45
"00078",-111.07,44.30
"00082",-72.21,44.98
"00083",-73.96,40.78
"00084",-77.42,34.88
"00085",-177.96,51.79
"00087",-80.74,27.73
"00097",-81.04,25.64
"00098",-81.13,25.32
"00100",-111.80,40.75
"00116",-91.86,29.56
"00119",-90.49,29.06
"00120",-90.68,29.05
"00121",-89.21,29.08
"00122",-88.83,29.96
"00125",-69.20,46.82
"00126",-70.64,45.29
"00127",-68.14,44.93
"00128",-70.95,45.15
"00130",-68.84,45.65
"00132",-69.98,46.10
"00133",-70.27,45.38
"00134",-67.85,45.05
"00135",-69.25,46.02
"00137",-68.18,46.37
"00138",-68.11,45.90
"00139",-70.60,44.79
"00140",-70.35,45.12
"00141",-68.26,45.27
"00145",-69.78,45.34
"00147",-70.37,44.98
"00148",-68.42,46.93
"00151",-67.45,44.91
"00152",-75.18,38.14
"00157",-71.00,42.31
"00158",-69.99,41.57
"00159",-70.81,41.25
"00160",-90.75,47.95
"00161",-91.39,48.01
"00164",-95.40,48.45
"00165",-95.00,48.53
"00166",-95.05,48.21
"00168",-71.12,44.29
"00169",-71.07,44.51
"00170",-71.10,44.91
"00172",-71.33,44.12
"00173",-71.33,44.20
"00174",-71.37,44.22
"00176",-71.30,44.21
"00177",-71.24,44.26
"00179",-71.35,44.26
"00180",-71.29,44.30
"00181",-71.36,44.32
"00182",-71.40,44.26
"00183",-71.22,44.29
"00184",-71.21,44.32
"00185",-71.38,44.52
"00186",-71.34,44.80
"00187",-71.19,44.91
"00188",-97.38,27.13
"00190",-71.91,44.92
"00191",-71.87,44.91
"00192",-71.75,44.86
"00195",-123.98,46.45
"00197",-112.72,32.80
"00198",-149.46,61.12
"00199",-111.89,33.96
"00501",-73.04,40.81
"00544",-73.04,40.81
"00716",-66.62,17.98
"00824",-64.70,17.74
"01001",-72.62,42.06
