AIRCRAFT_TYPE,AIRCRAFT_CONFIG,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,RAMP_TO_RAMP,AIR_TIME,DISTANCE_GROUP,CLASS
694,1,37400,150,146,0,0,124,107,2,F
698,1,37822,119,117,0,0,144,125,2,F
698,1,37822,119,119,0,0,162,121,2,F
646,1,5300,8,2,0,0,120,108,2,L
675,1,10841,50,43,0,0,91,72,1,L
675,1,23500,100,41,0,0,200,165,2,L
675,1,10841,50,35,0,0,91,82,1,L
675,1,12659,50,22,0,0,131,116,2,L
675,1,10808,50,38,0,0,143,124,2,L
675,1,12659,50,0,0,0,206,196,3,L
635,2,21458,0,0,800,0,178,168,3,P
635,2,21458,0,0,0,0,181,167,3,P
622,1,95000,215,156,0,0,132,120,2,L
622,1,95000,215,0,0,0,96,72,2,L
684,1,2000,8,3,0,0,122,113,2,L
684,1,4000,16,4,0,0,234,210,2,L
684,1,4000,16,3,0,0,233,209,2,L
684,1,2000,8,2,0,0,54,47,1,L
699,1,51700,187,62,0,0,164,88,2,L
699,1,51700,187,56,0,0,260,216,4,L
622,1,49760,199,160,0,0,169,152,3,F
698,1,34446,132,30,0,0,212,172,3,F
699,1,50700,192,150,14,39,174,156,3,F
622,1,49760,199,160,0,0,166,148,3,F
694,1,38879,160,139,0,0,91,75,2,F
608,1,29900,110,103,492,0,83,54,1,F
698,1,34446,132,4,0,0,153,132,3,F
699,1,50700,192,129,0,0,173,152,3,F
622,1,49760,72,62,0,0,167,143,3,L
622,1,49760,72,0,0,0,142,128,3,L
655,1,32870,149,148,0,0,158,137,3,F
656,1,38470,158,150,32,0,152,126,1,F
656,1,38170,158,149,0,0,118,92,2,F
656,1,38170,158,102,70,4,142,115,2,F
622,1,49760,72,50,0,0,92,70,1,L
655,1,32870,149,147,5,0,178,151,3,F
622,1,49760,199,160,28,0,142,101,2,F
656,1,38170,158,156,0,226,115,76,1,F
622,1,99520,144,61,0,0,280,229,2,L
622,1,49760,72,52,0,0,84,53,1,L
614,1,42500,173,0,0,0,275,255,4,L
614,1,42500,173,0,0,0,160,140,3,L
614,1,42500,173,27,0,0,150,120,2,L
698,1,34279,128,126,4,0,48,36,1,F
614,1,41006,166,70,10064,0,168,151,3,L
614,1,38700,166,152,0,282,218,190,2,F
698,1,34771,128,122,1,0,144,116,2,F
634,1,35906,179,174,0,0,298,270,4,F
614,1,36926,166,163,0,0,249,217,3,F
634,1,40581,179,58,10064,0,86,79,2,L
887,1,54393,219,200,0,0,206,119,2,F
612,1,69200,286,281,2628,0,83,41,1,F
612,1,69200,286,278,1614,0,96,45,1,F
614,1,43400,175,175,252,0,40,23,1,F
612,1,34600,143,141,1280,0,162,137,2,F
612,1,34600,143,142,151,0,230,213,3,F
614,1,43400,175,160,167,0,167,148,2,F
614,1,43400,175,164,120,0,212,198,3,F
612,1,34600,143,143,0,0,170,156,3,F
612,1,34600,143,132,0,0,225,210,3,F
612,1,34600,143,143,0,0,129,115,1,F
614,1,43400,175,165,0,0,128,112,2,F
612,1,34600,143,140,1348,0,162,141,2,F
614,1,43400,175,120,0,0,34,19,1,F
515,1,1600,8,1,0,0,144,132,2,L
515,1,1600,8,0,0,0,150,132,2,L
688,1,2400,12,1,0,0,144,126,2,L
515,1,1600,8,1,0,0,120,102,2,L
688,1,2400,12,0,0,0,174,162,3,L
515,1,1600,8,6,0,0,144,132,2,L
625,1,68370,218,0,0,0,120,90,2,L
