ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED
12954,11292,0,1
11292,14771,0,1
14771,11292,0,1
11423,10325,0,1
11292,11315,0,1
11292,12389,0,2
11315,11292,0,1
11503,15016,0,1
15016,11503,0,1
12544,11503,0,1
10397,11292,0,1
11292,11996,0,1
11109,15570,0,1
12889,11109,0,1
10372,10800,0,1
10800,11503,0,2
11503,10800,0,2
14869,10372,0,1
11292,14107,0,1
14100,11292,0,1
10397,11109,0,1
11109,10397,0,1
11109,11298,0,1
11122,11292,0,1
11292,10397,0,1
11292,11193,0,1
11292,11433,0,1
11292,11775,0,1
11292,12889,0,1
11292,14679,0,1
11292,14869,0,1
11433,11292,0,1
13487,11292,0,1
13851,11292,0,1
14771,11292,0,2
14869,11292,0,1
10529,11292,0,1
11109,16091,0,1
13796,11109,0,1
10558,11292,0,1
11292,11042,0,1
11292,12448,0,1
11292,12892,0,1
11292,13303,0,1
11292,14524,0,1
13341,11292,0,1
11109,11292,0,2
11233,11292,0,2
11233,11292,0,1
11259,11109,0,1
11292,10792,0,1
11292,11140,0,1
11292,11481,0,1
11292,11973,0,1
11292,12896,0,1
11292,12992,0,1
14831,11109,0,1
11109,11292,0,1
10325,10423,0,1
10325,13930,0,1
10325,14831,0,1
10423,10325,0,1
11066,10325,0,1
14792,10372,0,1
10466,11292,0,2
10747,11292,0,1
11292,13796,0,1
11292,14275,0,1
11292,14869,0,3
11563,11921,0,1
11921,11563,0,1
14576,11292,0,1
15370,11292,0,1
11376,11292,0,1
11292,13342,0,1
14570,11292,0,1
11292,10590,0,2
11719,10590,0,1
10590,11292,0,1
10590,11719,0,1
10590,13502,0,1
10590,14288,0,1
13502,10590,0,1
14288,10590,0,1
11840,14288,0,1
14288,13796,0,1
11193,11292,0,22
11292,11193,0,22
14747,11109,0,1
11292,13851,0,1
10325,11292,0,1
10558,11292,0,44
11283,11292,0,19
11292,10558,0,45
11292,11283,0,23
11292,11292,0,3
11292,11468,0,56
11292,12899,0,48
11292,12902,0,19
11468,11292,0,56
12899,11292,0,48
12902,10325,0,1
12902,11292,0,21
11292,14081,0,1
14288,11711,0,1
11292,11292,0,1
10558,11292,1,1
11292,10409,1,1
11292,12389,1,1
12389,11292,1,3
11921,12889,1,1
12889,11921,1,1
11109,11292,1,1
11109,11298,1,1
11109,12278,1,1
11292,10721,1,1
11292,12892,1,1
11292,12992,1,1
13204,11292,1,1
13930,11109,1,1
14492,11292,1,1
14771,11292,1,1
14869,11109,1,1
11292,13487,1,1
11292,13487,1,2
11292,14869,1,1
11433,11292,1,1
13487,11292,1,1
11292,15370,1,1
11986,11292,1,1
11097,11292,1,1
11109,12992,1,1
11109,13486,1,1
11109,15376,1,1
11122,11292,1,1
11278,11109,1,1
11292,10140,1,1
11292,10397,1,1
11292,10423,1,1
11292,11003,1,1
11292,11097,1,1
11292,11122,1,1
11292,11298,1,1
11292,11986,1,1
11292,12266,1,1
11292,12441,1,1
11292,13264,1,1
11292,13871,1,1
11292,13930,1,1
11292,14489,1,1
11292,14679,1,1
11292,14730,1,1
11292,14771,1,1
11292,14908,1,1
11292,15041,1,1
11298,11109,1,1
11921,12892,1,1
12266,11292,1,1
12441,11292,1,1
12888,11292,1,1
12892,11292,1,1
12992,11292,1,1
13264,11292,1,1
13486,11109,1,1
13930,11292,1,1
14057,11292,1,1
14252,11921,1,1
14679,11292,1,1
14683,11292,1,1
14794,11109,1,1
14893,11292,1,1
14908,11292,1,1
10140,11292,1,1
10529,11292,1,1
10721,11292,1,1
10849,11292,1,1
11292,10620,1,1
11292,10849,1,1
11292,11193,1,1
11292,11433,1,1
11292,11697,1,1
11292,12264,1,1
11292,12889,1,1
11292,13198,1,1
11292,13204,1,1
11292,14100,1,1
11292,14262,1,1
11292,14524,1,1
11292,14570,1,1
11292,15016,1,1
12264,11292,1,1
13198,11292,1,1
14262,11292,1,1
14524,11292,1,1
14570,11292,1,1
14689,11292,1,1
14771,11292,1,2
15016,11292,1,1
15370,11292,1,1
10994,11292,1,1
11042,11292,1,1
11292,10713,1,1
11292,13342,1,1
11292,14057,1,1
11292,14635,1,1
13495,11292,1,1
14122,11292,1,1
14635,11292,1,1
10397,11292,1,1
11292,11042,1,1
11292,11109,1,1
11292,11423,1,1
11292,12278,1,1
12278,11292,1,1
14730,11292,1,1
11193,11292,1,1
11292,11066,1,1
11292,12339,1,1
11292,13486,1,1
11292,14107,1,1
11292,15412,1,1
12339,11292,1,1
13486,11292,1,1
14107,11292,1,1
15304,11292,1,1
15412,11292,1,1
11292,13495,1,1
11292,15376,1,1
11921,14869,1,1
13244,11921,1,1
13796,11292,1,1
13502,12891,1,1
11292,11413,1,1
11413,11292,1,1
11298,13502,1,1
13502,11298,1,1
11292,14877,1,6
14877,11292,1,6
11109,15016,1,1
12266,12012,1,1
11292,10559,1,1
14869,11292,1,1
11292,14057,2,2
12892,11292,2,2
14100,11292,2,2
11292,13487,2,2
14869,11292,2,2
11292,11986,2,2
11423,11292,2,2
11109,11292,2,2
11292,11109,2,2
11292,11921,2,2
11292,12003,2,2
11292,14683,2,2
11638,11109,2,1
11921,10372,2,2
11921,11292,2,2
11921,11298,2,2
12003,11292,2,2
13930,11921,2,2
14679,11292,2,2
15919,11292,2,2
10397,11292,2,2
11193,11292,2,2
11278,11292,2,2
11292,10397,2,2
11292,10721,2,2
11292,11278,2,2
11292,11884,2,2
11292,12278,2,2
11292,14492,2,2
11292,14689,2,2
11292,15304,2,2
11292,15376,2,2
11603,11292,2,2
11618,11292,2,2
11884,11292,2,2
11986,11292,2,2
12278,11292,2,2
12889,11292,2,2
15304,11292,2,2
15376,11292,2,2
10713,11292,2,2
11292,10140,2,2
11292,10821,2,2
11292,10994,2,2
11292,11066,2,2
11292,14730,2,2
11292,14869,2,2
14057,11292,2,2
14747,11292,2,2
14831,11292,2,2
11066,11292,2,2
11292,10599,2,2
11292,15370,2,2
13851,11292,2,2
11292,13485,2,2
13485,11292,2,2
14492,11292,2,2
14683,11292,2,2
11292,10620,2,2
11292,11540,2,2
11292,11193,2,2
11298,11292,3,3
10849,11292,3,3
11292,10849,3,3
11292,13487,3,3
11292,14730,3,3
13367,11292,3,3
14730,11292,3,3
10140,11292,3,3
10279,11292,3,3
11292,10279,3,3
11292,11193,3,3
11292,11267,3,3
11292,11986,3,3
11292,12896,3,3
11292,13502,3,3
11292,13891,3,3
11292,14107,3,3
11292,14262,3,3
11292,14489,3,3
11292,14683,3,3
11292,15370,3,3
11423,11292,3,3
12892,11921,3,3
12896,11292,3,3
13502,11292,3,3
13891,11292,3,3
14107,11292,3,3
14457,11292,3,3
10800,11292,3,3
10821,11292,3,3
11057,11292,3,3
11292,10397,3,3
11292,11618,3,3
11292,13198,3,3
13851,11292,3,3
13930,11292,3,3
14262,11292,3,3
14492,11292,3,3
10257,11292,3,3
10397,11292,3,3
10529,11292,3,3
11292,10994,3,3
11292,12339,3,3
11292,12954,3,3
11292,13495,3,2
11292,13495,3,3
11292,13871,3,3
11292,13931,3,3
11292,14747,3,3
11292,14831,3,3
11292,14893,3,3
11292,15376,3,3
12339,11292,3,3
12954,11292,3,3
13495,11292,3,3
13871,11292,3,3
13931,11292,3,3
10599,11292,3,3
11042,11292,3,3
11292,10140,3,3
11292,10693,3,3
11292,11540,3,3
11292,13244,3,3
11292,13851,3,3
11292,15919,3,3
13244,11292,3,3
13487,11292,3,3
14683,11292,3,3
15919,11292,3,3
11003,11292,3,3
11292,11003,3,3
10620,11292,3,3
11292,10620,3,3
11292,14783,3,3
11292,14814,3,3
13198,11292,3,3
14814,11292,3,3
15376,11292,3,3
13930,11109,3,3
11921,12892,4,4
12892,11921,4,4
11292,11298,4,4
11298,11292,4,4
10140,11292,4,4
11292,10140,4,4
11292,11884,4,4
11292,13486,4,4
11292,13487,4,4
11292,14783,4,4
11413,12892,4,4
11884,11292,4,4
12892,11413,4,4
13198,11292,4,4
13486,11292,4,4
13487,11292,4,4
13871,11292,4,4
14783,11292,4,4
10397,11292,4,4
10849,11292,4,4
11003,11292,4,4
11066,11292,4,4
11193,11292,4,4
11292,10713,4,4
11292,10849,4,4
11292,11057,4,4
11292,11066,4,4
11292,11603,4,4
11292,11648,4,4
11292,12982,4,4
11292,13485,4,5
11292,13495,4,4
11292,14100,4,4
11292,14570,4,4
11292,14771,4,4
11433,11292,4,4
11648,11292,4,4
12982,11292,4,4
13485,11292,4,4
14570,11292,4,4
10994,11292,4,4
11292,10423,4,4
11292,13931,4,4
11292,14679,4,4
11292,14683,4,4
11292,14831,4,4
13342,11292,4,4
13931,11292,4,4
14683,11292,4,4
14869,11292,4,4
15376,11292,4,4
11292,12339,4,4
11540,11292,4,4
11292,13342,4,4
11292,14908,4,4
14908,11292,4,4
11292,12278,4,4
12278,11292,4,4
13502,13930,4,3
13930,13502,4,4
11292,10800,4,4
11292,14730,4,4
11292,14869,4,4
11292,11003,5,5
11292,12339,5,5
12339,11292,5,5
10620,11292,5,5
11292,10397,5,5
11292,10620,5,5
11292,11042,5,5
11292,11413,5,5
11292,11648,5,5
11292,12278,5,5
11292,13198,5,5
11292,13244,5,5
11292,13433,5,5
11292,13871,5,4
11292,14689,5,5
11413,11292,5,5
13198,11292,5,5
13244,11292,5,5
14262,11292,5,4
14869,11292,5,4
10713,11292,5,5
11057,11292,5,5
11292,10821,5,5
11292,11057,5,5
11292,11193,5,5
11292,11618,5,5
11292,11884,5,5
11292,13264,5,5
11292,13891,5,5
11292,14831,5,6
11292,14893,5,5
11292,15376,5,5
11697,11292,5,5
11884,11292,5,5
13851,11292,5,5
13891,11292,5,5
14057,11292,5,5
14747,11292,5,5
14831,11292,5,5
15376,11292,5,5
10693,11292,5,5
11292,12954,5,5
11292,13487,5,5
11292,15016,5,5
12191,11292,5,5
12954,11292,5,5
14122,11292,5,5
15016,11292,5,5
11292,14107,5,5
14107,11292,5,5
13487,11292,5,5
11233,11292,5,5
11292,11233,5,5
11292,13244,6,6
13487,11292,6,6
13502,13930,6,6
13930,13502,6,6
10397,11292,6,6
11042,11292,6,6
11109,12892,6,6
11292,11057,6,6
11292,13264,6,6
11292,13964,6,6
11423,11292,6,6
11648,11292,6,6
12278,11292,6,6
13244,11292,6,6
13433,11292,6,6
13964,11292,6,6
14489,11292,6,6
14689,11292,6,6
15370,11292,6,6
15376,11292,6,6
10423,11292,6,6
11292,11433,6,6
11292,11986,6,6
11292,12339,6,6
11292,13198,6,6
11292,13342,6,6
11292,13495,6,6
11618,11292,6,6
12339,11292,6,6
13264,11292,6,6
13342,11292,6,6
14100,11292,6,6
11292,11697,6,6
11292,12451,6,7
11292,13796,6,6
11292,13851,6,6
12451,11292,6,6
14771,11292,6,6
14869,11292,6,6
11292,10397,6,5
11292,11298,6,6
11292,13871,6,6
11292,14730,6,6
11109,11921,6,6
11921,11109,6,6
11292,11775,6,6
11921,12889,7,7
12889,11921,7,7
11292,15412,7,7
15412,11292,7,7
10423,11292,7,7
10561,11292,7,7
11057,11292,7,7
11292,11921,7,7
11292,14524,7,7
14524,11292,7,7
10620,11292,7,7
10713,11292,7,7
10800,11292,7,7
11292,10620,7,7
11292,10713,7,7
11292,10800,7,7
11292,11423,7,7
11292,11603,7,7
11292,13342,7,7
11292,13851,7,7
11292,14122,7,7
11292,14869,7,7
11423,11292,7,7
11603,11292,7,7
13198,11292,7,7
13342,11292,7,7
14100,11292,7,7
14122,11292,7,7
15370,11292,7,7
11042,11292,7,7
11292,11618,7,7
11292,14193,7,7
11292,14492,7,7
14193,11292,7,7
11003,11292,7,7
11292,12094,7,7
11775,11292,7,7
11292,14730,7,7
14730,11292,7,7
11292,14107,8,8
14107,11292,8,8
11292,11042,8,8
11193,11292,8,8
11292,15376,8,7
13851,11292,8,8
10423,11292,8,8
11292,10423,8,8
11292,10529,8,8
11292,11433,8,8
11292,11697,8,8
11292,12953,8,8
11292,13485,8,8
11292,13487,8,8
11292,14747,8,8
11292,15370,8,8
11603,11292,8,8
13495,11292,8,8
14869,11292,8,8
11292,11884,8,8
11292,12191,8,8
11292,12892,8,8
11292,13851,8,8
11292,14771,8,8
12889,11292,8,8
13198,11292,8,8
14492,11292,8,8
10693,11292,8,8
11109,14771,8,8
14771,11109,8,8
11292,13796,8,8
11292,12012,8,8
12012,11292,8,8
12094,11292,8,8
10466,11109,9,9
11109,10466,9,9
11109,12889,9,9
11921,12892,9,9
12889,11109,9,9
12892,11921,9,9
10643,11292,9,9
11292,10643,9,9
11292,11003,9,9
11292,11648,9,9
11292,13851,9,9
11648,11292,9,9
11921,11292,9,9
13264,11292,9,9
10821,11292,9,9
11292,12339,9,9
11292,14057,9,9
11433,11292,9,9
11603,11292,9,9
12339,11292,9,9
13485,11292,9,9
11292,10397,9,9
11292,10529,9,9
13487,11292,9,9
14683,11292,9,9
11292,11278,9,9
14730,11292,9,9
11066,11292,10,10
11292,10800,10,10
11292,11066,10,10
11292,15376,10,10
15016,11292,10,10
10529,11292,10,10
11292,10821,10,10
11292,11423,10,10
11292,11775,10,10
11292,14262,10,10
11423,11292,10,10
12264,11292,10,10
13495,11292,10,10
13891,11292,10,10
14262,11292,10,10
11292,11042,10,10
11292,12889,10,10
11292,13487,10,10
11292,14730,10,11
13851,11292,10,10
14730,11292,10,10
14771,11292,10,10
12266,11109,10,10
11278,11292,10,10
11292,13244,10,10
13244,11292,10,10
11292,15370,10,10
15370,11292,10,10
11292,15177,10,1
15177,11292,10,1
10950,14107,10,10
14107,10950,10,9
11292,12953,11,11
13851,11292,11,11
10821,11292,11,11
11292,11603,11,11
11292,12264,11,11
11292,13495,11,10
11292,13871,11,11
11292,13891,11,11
11292,14893,11,11
11775,11292,11,11
12892,11292,11,11
13198,11292,11,11
14107,11292,11,11
11109,12892,11,11
12892,11109,11,11
11292,11986,11,11
11292,12478,12,13
12478,11292,12,13
11292,14683,12,12
14683,11292,12,12
11292,11603,12,12
11292,13487,12,13
11292,14492,12,12
11292,14747,12,12
11298,11292,12,12
13342,11292,12,12
13487,11292,12,12
14893,11292,12,12
11292,10693,12,12
11638,11921,12,12
14783,11292,12,12
11193,11292,13,13
11292,11193,13,13
12953,11292,13,13
11292,14869,13,13
13367,11292,13,13
11292,10620,13,13
11292,11423,13,14
11292,13342,13,13
11292,13871,13,13
11292,13891,13,13
11292,15304,13,13
13204,11292,13,13
14492,11292,13,13
14679,11292,13,13
10849,11292,13,13
11003,11292,13,13
11292,10849,13,13
11292,11003,13,13
11292,11995,13,13
11292,14747,13,13
11995,11292,13,13
14747,11292,13,13
13796,11292,13,13
11003,11292,14,14
10620,11292,14,14
11292,10423,14,14
11292,14679,14,14
