Aircraft_Type,Aircraft_Config,Payload,Seats,Passengers,Freight,Mail,Ramp_to_Ramp,Air_Time,Distance_Group,Class,Aircraft_ID
694,1,37400,150,146,0,0,124,107,2,F,1
698,1,37822,119,117,0,0,144,125,2,F,2
698,1,37822,119,119,0,0,162,121,2,F,3
646,1,5300,8,2,0,0,120,108,2,L,4
675,1,10841,50,43,0,0,91,72,1,L,5
675,1,23500,100,41,0,0,200,165,2,L,6
675,1,10841,50,35,0,0,91,82,1,L,7
675,1,12659,50,22,0,0,131,116,2,L,8
675,1,10808,50,38,0,0,143,124,2,L,9
675,1,12659,50,0,0,0,206,196,3,L,10
635,2,21458,0,0,800,0,178,168,3,P,11
635,2,21458,0,0,0,0,181,167,3,P,12
622,1,95000,215,156,0,0,132,120,2,L,13
622,1,95000,215,0,0,0,96,72,2,L,14
684,1,2000,8,3,0,0,122,113,2,L,15
684,1,4000,16,4,0,0,234,210,2,L,16
684,1,4000,16,3,0,0,233,209,2,L,17
684,1,2000,8,2,0,0,54,47,1,L,18
699,1,51700,187,62,0,0,164,88,2,L,19
699,1,51700,187,56,0,0,260,216,4,L,20
622,1,49760,199,160,0,0,169,152,3,F,21
698,1,34446,132,30,0,0,212,172,3,F,22
699,1,50700,192,150,14,39,174,156,3,F,23
622,1,49760,199,160,0,0,166,148,3,F,24
694,1,38879,160,139,0,0,91,75,2,F,25
608,1,29900,110,103,492,0,83,54,1,F,26
698,1,34446,132,4,0,0,153,132,3,F,27
699,1,50700,192,129,0,0,173,152,3,F,28
622,1,49760,72,62,0,0,167,143,3,L,29
622,1,49760,72,0,0,0,142,128,3,L,30
655,1,32870,149,148,0,0,158,137,3,F,31
656,1,38470,158,150,32,0,152,126,1,F,32
656,1,38170,158,149,0,0,118,92,2,F,33
656,1,38170,158,102,70,4,142,115,2,F,34
622,1,49760,72,50,0,0,92,70,1,L,35
655,1,32870,149,147,5,0,178,151,3,F,36
622,1,49760,199,160,28,0,142,101,2,F,37
656,1,38170,158,156,0,226,115,76,1,F,38
622,1,99520,144,61,0,0,280,229,2,L,39
622,1,49760,72,52,0,0,84,53,1,L,40
614,1,42500,173,0,0,0,275,255,4,L,41
614,1,42500,173,0,0,0,160,140,3,L,42
614,1,42500,173,27,0,0,150,120,2,L,43
698,1,34279,128,126,4,0,48,36,1,F,44
614,1,41006,166,70,10064,0,168,151,3,L,45
614,1,38700,166,152,0,282,218,190,2,F,46
698,1,34771,128,122,1,0,144,116,2,F,47
634,1,35906,179,174,0,0,298,270,4,F,48
614,1,36926,166,163,0,0,249,217,3,F,49
634,1,40581,179,58,10064,0,86,79,2,L,50
887,1,54393,219,200,0,0,206,119,2,F,51
612,1,69200,286,281,2628,0,83,41,1,F,52
612,1,69200,286,278,1614,0,96,45,1,F,53
614,1,43400,175,175,252,0,40,23,1,F,54
612,1,34600,143,141,1280,0,162,137,2,F,55
612,1,34600,143,142,151,0,230,213,3,F,56
614,1,43400,175,160,167,0,167,148,2,F,57
614,1,43400,175,164,120,0,212,198,3,F,58
612,1,34600,143,143,0,0,170,156,3,F,59
612,1,34600,143,132,0,0,225,210,3,F,60
612,1,34600,143,143,0,0,129,115,1,F,61
614,1,43400,175,165,0,0,128,112,2,F,62
612,1,34600,143,140,1348,0,162,141,2,F,63
614,1,43400,175,120,0,0,34,19,1,F,64
515,1,1600,8,1,0,0,144,132,2,L,65
515,1,1600,8,0,0,0,150,132,2,L,66
688,1,2400,12,1,0,0,144,126,2,L,67
515,1,1600,8,1,0,0,120,102,2,L,68
688,1,2400,12,0,0,0,174,162,3,L,69
515,1,1600,8,6,0,0,144,132,2,L,70
625,1,68370,218,0,0,0,120,90,2,L,71
617,1,151660,358,30,0,0,195,161,2,L,72
617,1,75830,179,15,0,0,162,151,3,L,73
617,1,75830,179,21,0,0,155,132,2,L,74
617,1,75830,179,0,0,0,157,142,3,L,75
617,1,227490,537,45,0,0,266,186,1,L,76
617,1,75830,179,138,0,0,58,41,1,L,77
617,1,75830,179,138,0,0,67,49,1,L,78
617,1,75830,179,0,0,0,210,196,3,L,79
617,1,75830,179,20,0,0,92,82,2,L,80
635,2,23000,0,0,8878,0,145,125,2,P,81
635,2,23000,0,0,8878,0,140,120,2,P,82
669,1,12343,16,14,0,0,129,110,2,L,83
669,1,12343,16,13,0,0,124,106,2,L,84
614,1,82501,324,286,0,0,473,369,2,L,85
614,1,43411,162,149,0,0,124,102,2,L,86
614,1,43116,162,129,0,0,213,175,2,L,87
614,1,43116,162,148,0,0,208,175,2,L,88
614,1,43411,162,93,0,0,209,179,1,L,89
614,1,43411,162,156,0,0,191,169,2,L,90
614,1,43116,162,93,0,0,207,183,1,L,91
614,1,42116,162,154,0,0,211,182,2,L,92
681,2,5600,0,0,270,0,170,160,3,P,93
681,2,5600,0,0,270,0,175,155,2,P,94
617,2,1668260,0,0,627144,0,3922,3343,3,P,95
617,2,1668260,0,0,431309,0,3620,2944,3,P,96
634,1,41080,178,156,0,0,48,19,1,F,97
634,1,41080,178,156,0,0,180,148,3,F,98
675,1,11118,50,49,0,0,55,29,1,F,99
675,1,11118,50,34,0,0,136,114,1,F,100
456,1,7600,30,5,0,0,32,13,1,F,101
456,1,334400,1320,329,0,0,2622,1956,1,F,102
456,1,144400,570,116,0,0,1692,1405,1,F,103
456,1,342000,1350,343,0,0,2489,1733,1,F,104
456,1,174800,690,176,0,0,1912,1491,1,F,105
456,1,22800,90,37,0,0,224,176,1,F,106
456,1,425600,1680,645,0,0,4620,3767,1,F,107
456,1,364800,1440,423,0,0,3481,2635,1,F,108
456,1,144400,570,82,0,0,1605,1299,1,F,109
456,1,425600,1680,600,0,0,5338,4462,1,F,110
456,1,364800,1440,422,0,0,3700,2947,1,F,111
456,1,7600,30,5,0,0,100,87,1,F,112
456,1,159600,630,153,0,0,1830,1524,1,F,113
405,1,4500,19,5,0,0,117,103,1,F,114
405,1,4500,19,5,0,0,79,60,1,F,115
479,1,1600,8,6,0,0,100,84,1,F,116
675,1,10808,50,20,0,0,60,45,1,F,117
675,1,10841,50,40,0,0,86,67,2,F,118
675,1,10808,50,34,0,0,106,81,2,F,119
675,1,34308,150,121,0,0,298,260,2,F,120
698,1,101000,156,113,0,0,78,60,1,F,121
698,1,101000,156,151,0,0,84,60,1,F,122
614,1,40400,160,150,450,266,42,20,1,F,123
614,1,39900,160,133,0,0,97,78,2,F,124
655,1,39400,140,124,0,0,117,85,1,F,125
699,1,50200,181,168,428,0,255,207,4,F,126
699,1,48100,181,74,0,0,144,115,2,F,127
614,1,39900,160,150,550,0,150,106,2,F,128
699,1,50200,181,154,0,54,255,196,4,F,129
614,1,40400,160,150,450,266,157,138,2,F,130
614,1,40400,160,142,0,521,219,201,3,F,131
699,1,51700,187,150,0,460,159,140,2,F,132
614,1,39900,160,133,0,0,87,71,1,F,133
608,1,29900,110,101,0,0,166,136,2,F,134
608,1,29900,110,110,0,0,126,86,2,F,135
694,1,77758,320,281,0,0,219,176,2,F,136
614,1,40870,160,155,0,0,78,60,1,F,137
614,1,41370,160,154,6,0,176,154,3,F,138
608,1,29900,110,106,53,0,131,103,2,F,139
694,1,38879,160,160,21,0,112,95,2,F,140
631,1,17610,70,70,0,0,110,74,2,F,141
631,1,17610,70,55,0,0,153,132,3,F,142
629,1,13500,50,35,0,0,91,61,1,F,143
629,1,13500,50,0,0,0,143,97,2,F,144
629,1,13500,50,0,0,0,137,100,2,F,145
629,1,13500,50,46,0,0,104,85,2,F,146
629,1,13500,50,48,0,0,56,41,1,F,147
673,1,15200,76,0,0,0,218,191,3,F,148
631,1,18740,70,70,0,0,78,52,1,F,149
631,1,18740,70,62,0,0,210,183,3,F,150
673,1,15200,76,69,0,0,151,129,2,F,151
673,1,15200,76,58,0,0,109,89,2,F,152
629,1,13500,50,45,0,0,89,64,1,F,153
629,1,13500,50,43,0,0,64,37,1,F,154
631,1,18740,70,67,0,0,122,91,2,F,155
673,1,15200,76,69,0,0,169,137,3,F,156
673,1,15200,76,0,0,0,133,118,2,F,157
631,1,18740,70,69,0,0,134,64,1,F,158
631,1,18740,70,48,0,0,125,98,2,F,159
631,1,18740,70,63,0,0,148,127,2,F,160
631,1,18740,70,63,0,0,81,61,1,F,161
673,1,15200,76,65,0,0,139,114,2,F,162
629,1,13500,50,40,0,0,158,133,2,F,163
673,1,15200,76,76,0,0,135,112,2,F,164
629,1,13500,50,50,0,0,162,130,3,F,165
629,1,13500,50,0,0,0,180,147,2,F,166
631,1,18740,70,0,0,0,233,134,2,F,167
631,1,18740,70,68,0,0,145,110,2,F,168
673,1,15200,76,73,0,0,106,86,2,F,169
673,1,15200,76,0,0,0,131,86,2,F,170
631,1,18740,70,0,0,0,109,84,2,F,171
629,1,13500,50,0,0,0,160,122,2,F,172
631,1,18740,70,34,0,0,89,57,1,F,173
673,1,15200,76,53,0,0,74,51,1,F,174
631,1,18740,70,0,0,0,139,113,2,F,175
673,1,15200,76,62,0,0,129,110,2,F,176
631,1,18740,70,16,0,0,141,122,2,F,177
629,1,13500,50,0,0,0,123,93,2,F,178
673,1,15200,76,0,0,0,200,134,2,F,179
673,1,15200,76,76,0,0,148,131,2,F,180
629,1,13500,50,41,0,0,129,111,2,F,181
631,1,18740,70,69,0,0,153,122,2,F,182
673,1,15200,76,65,0,0,136,107,2,F,183
629,1,13500,50,45,0,0,178,105,1,F,184
631,1,18740,70,68,0,0,141,118,2,F,185
631,1,18740,70,67,0,0,129,114,2,F,186
694,1,32640,150,140,1,0,66,48,1,F,187
614,1,41971,166,151,0,1040,240,218,4,F,188
