Airport_ID,Airport_Seq_ID,Airport_code,WAC
12954,1295403,LGB,91
11292,1129202,DEN,82
14771,1477102,SFO,91
11423,1142304,DSM,61
11315,1131502,DIK,66
11503,1150303,EGE,82
15016,1501603,STL,64
12544,1254403,USA,36
10397,1039705,ATL,34
11109,1110902,COS,82
12889,1288903,LAS,85
10372,1037203,ASE,82
10800,1080003,BUR,91
14869,1486903,SLC,87
14100,1410002,PHL,23
11122,1112203,CPR,88
11433,1143302,DTW,43
13487,1348702,MSP,63
13851,1385103,OKC,73
10529,1052904,BDL,11
13796,1379604,OAK,91
10558,1055803,BFF,65
13341,1334102,MKC,64
11233,1123302,CYS,88
11259,1125903,DAL,74
14831,1483104,SJC,91
10325,1032504,APA,82
10423,1042302,AUS,74
11066,1106603,CMH,44
14792,1479201,SGR,74
10466,1046602,AZA,81
10747,1074702,BRO,74
11563,1156303,ENV,87
11921,1192102,GJT,82
14576,1457604,ROC,22
15370,1537002,TUL,73
11376,1137601,DPA,41
14570,1457002,RNO,85
11719,1171902,FNL,82
10590,1059004,IFP,81
13502,1350202,MTJ,82
14288,1428803,PUB,82
11840,1184002,GAD,51
11193,1119302,CVG,52
14747,1474703,SEA,93
11283,1128302,DDC,62
11468,1146802,EAR,65
12899,1289902,LBF,65
12902,1290203,LBL,62
12389,1238902,ISN,66
13204,1320402,MCO,33
13930,1393004,ORD,41
14492,1449202,RDU,36
11986,1198603,GRR,43
11097,1109702,COD,88
11278,1127803,DCA,38
11298,1129804,DFW,74
12266,1226603,IAH,74
12441,1244102,JAC,88
12888,1288802,LAR,88
12892,1289205,LAX,91
12992,1299204,LIT,71
13264,1326403,MFR,92
13486,1348602,MSO,84
14057,1405702,PDX,92
14252,1425202,PSC,93
14679,1467903,SAN,91
14683,1468303,SAT,74
14794,1479403,SGU,87
14893,1489302,SMF,91
14908,1490803,SNA,91
10140,1014003,ABQ,86
10721,1072102,BOS,13
10849,1084903,BZN,84
12264,1226402,IAD,38
13198,1319801,MCI,64
14262,1426204,PSP,91
14524,1452401,RIC,38
14689,1468902,SBA,91
10994,1099402,CHS,37
11042,1104203,CLE,44
13495,1349503,MSY,72
14122,1412202,PIT,23
14635,1463502,RSW,33
12278,1227803,ICT,62
14730,1473003,SDF,52
12339,1233904,IND,42
14107,1410702,PHX,81
15304,1530402,TPA,33
15412,1541203,TYS,54
13244,1324402,MEM,54
11413,1141304,DRO,82
14877,1487704,SLN,62
11638,1163805,FAT,91
12003,1200302,GTF,84
15919,1591902,XNA,71
11603,1160302,EUG,92
11618,1161802,EWR,21
11884,1188402,GEG,93
15376,1537602,TUS,81
10713,1071302,BOI,83
13485,1348502,MSN,45
13367,1336703,MLI,41
10279,1027903,AMA,74
12896,1289605,LBB,74
13891,1389101,ONT,91
14457,1445702,RAP,67
10821,1082104,BWI,35
11057,1105703,CLT,36
10257,1025702,ALB,22
13871,1387102,OMA,65
13931,1393102,ORF,38
10599,1059904,BHM,51
11003,1100303,CID,61
10620,1062002,BIL,84
14814,1481402,SHV,72
14783,1478302,SGF,64
11648,1164802,FCA,84
12982,1298202,LIH,2
13342,1334205,MKE,45
11540,1154003,ELP,74
11697,1169704,FLL,33
10693,1069302,BNA,54
12191,1219102,HOU,74
13433,1343302,MOT,66
13964,1396403,OTH,92
14489,1448902,RDM,92
12451,1245102,JAX,33
10561,1056103,BFL,91
14193,1419304,PNS,33
11775,1177502,FSD,67
12012,1201203,GUC,82
12094,1209402,HDN,82
10643,1064301,BKG,64
15177,1517702,TEX,82
10950,1095002,CEZ,82
12478,1247803,JFK,22
12953,1295302,LGA,22
11995,1199502,GSO,36
14512,1451202,RFD,41
10194,1019403,AFW,74
11267,1126702,DAY,44
11711,1171102,FMN,86
11447,1144703,DVL,66
13029,1302902,LNK,65
10627,1062702,BIS,66
14698,1469802,SBP,91
13158,1315803,MAF,74
12758,1275803,KOA,2
13830,1383002,OGG,2
10272,1027203,ALS,82
13303,1330303,MIA,33
12156,1215603,HLN,84
12519,1251902,JMS,66
12173,1217302,HNL,2
12217,1221702,HSV,51
11637,1163703,FAR,66
14534,1453402,RIW,88
10299,1029904,ANC,1
14120,1412002,PIR,67
12255,1225502,HYS,62
10221,1022103,AIA,65
10925,1092502,CDR,65
13200,1320002,MCK,65
15582,1558202,VEL,87
11865,1186502,GCC,88
14543,1454302,RKS,88
11092,1109202,CNY,87
14674,1467402,SAF,86
12280,1228002,IDA,83
13232,1323202,MDW,41
11996,1199603,GSP,37
15570,1557001,VCV,91
16091,1609103,YIP,43
12448,1244805,JAN,53
10792,1079204,BUF,22
11140,1114006,CRP,74
11481,1148102,ECP,33
11973,1197302,GPT,53
14275,1427502,PTK,43
14081,1408102,PGA,81
10409,1040903,ATY,67
15041,1504102,SUN,83
12891,1289102,LAW,73
10559,1055902,BFI,93
