Origin_City_Market_ID,Origin_City_Name,Dest_City_Market_ID,Dest_City_Name
32575,"Long Beach, CA",30325,"Denver, CO"
30325,"Denver, CO",32457,"San Francisco, CA"
32457,"San Francisco, CA",30325,"Denver, CO"
31423,"Des Moines, IA",30325,"Denver, CO"
30325,"Denver, CO",31315,"Dickinson, ND"
30325,"Denver, CO",32389,"Williston, ND"
31315,"Dickinson, ND",30325,"Denver, CO"
31503,"Eagle, CO",31123,"St. Louis, MO"
31123,"St. Louis, MO",31503,"Eagle, CO"
32544,"CONCORD, NC",31503,"Eagle, CO"
30397,"Atlanta, GA",30325,"Denver, CO"
30325,"Denver, CO",31871,"Greer, SC"
30189,"Colorado Springs, CO",35570,"Victorville, CA"
32211,"Las Vegas, NV",30189,"Colorado Springs, CO"
30372,"Aspen, CO",32575,"Burbank, CA"
32575,"Burbank, CA",31503,"Eagle, CO"
31503,"Eagle, CO",32575,"Burbank, CA"
34614,"Salt Lake City, UT",30372,"Aspen, CO"
30325,"Denver, CO",30466,"Phoenix, AZ"
34100,"Philadelphia, PA",30325,"Denver, CO"
30397,"Atlanta, GA",30189,"Colorado Springs, CO"
30189,"Colorado Springs, CO",30397,"Atlanta, GA"
30189,"Colorado Springs, CO",30194,"Dallas/Fort Worth, TX"
31122,"Casper, WY",30325,"Denver, CO"
30325,"Denver, CO",30397,"Atlanta, GA"
30325,"Denver, CO",33105,"Cincinnati, OH"
30325,"Denver, CO",31295,"Detroit, MI"
30325,"Denver, CO",31775,"Sioux Falls, SD"
30325,"Denver, CO",32211,"Las Vegas, NV"
30325,"Denver, CO",33570,"San Diego, CA"
30325,"Denver, CO",34614,"Salt Lake City, UT"
31295,"Detroit, MI",30325,"Denver, CO"
31650,"Minneapolis, MN",30325,"Denver, CO"
33851,"Oklahoma City, OK",30325,"Denver, CO"
34614,"Salt Lake City, UT",30325,"Denver, CO"
30529,"Hartford, CT",30325,"Denver, CO"
30189,"Colorado Springs, CO",31295,"Detroit, MI"
32457,"Oakland, CA",30189,"Colorado Springs, CO"
30558,"Scottsbluff, NE",30325,"Denver, CO"
30325,"Denver, CO",30647,"Cleveland, OH"
30325,"Denver, CO",32448,"Jackson/Vicksburg, MS"
30325,"Denver, CO",32575,"Los Angeles, CA"
30325,"Denver, CO",32467,"Miami, FL"
30325,"Denver, CO",34524,"Richmond, VA"
33198,"Kansas City, MO",30325,"Denver, CO"
30189,"Colorado Springs, CO",30325,"Denver, CO"
31233,"Cheyenne, WY",30325,"Denver, CO"
30194,"Dallas, TX",30189,"Colorado Springs, CO"
30325,"Denver, CO",30792,"Buffalo, NY"
30325,"Denver, CO",31140,"Corpus Christi, TX"
30325,"Denver, CO",31481,"Panama City, FL"
30325,"Denver, CO",31973,"Gulfport/Biloxi, MS"
30325,"Denver, CO",32896,"Lubbock, TX"
30325,"Denver, CO",32600,"Little Rock, AR"
32457,"San Jose, CA",30189,"Colorado Springs, CO"
30325,"Denver, CO",30423,"Austin, TX"
30325,"Denver, CO",30977,"Chicago, IL"
30325,"Denver, CO",32457,"San Jose, CA"
30423,"Austin, TX",30325,"Denver, CO"
31066,"Columbus, OH",30325,"Denver, CO"
34792,"Sugar Land, TX",30372,"Aspen, CO"
30466,"Phoenix, AZ",30325,"Denver, CO"
30747,"Brownsville, TX",30325,"Denver, CO"
30325,"Denver, CO",32457,"Oakland, CA"
30325,"Denver, CO",34275,"Pontiac, MI"
31563,"Wendover, UT",31921,"Grand Junction, CO"
31921,"Grand Junction, CO",31563,"Wendover, UT"
34576,"Rochester, NY",30325,"Denver, CO"
34653,"Tulsa, OK",30325,"Denver, CO"
30977,"Chicago, IL",30325,"Denver, CO"
30325,"Denver, CO",33342,"Milwaukee, WI"
34570,"Reno, NV",30325,"Denver, CO"
30325,"Denver, CO",30590,"Bullhead City, AZ"
31719,"Fort Collins/Loveland, CO",30590,"Bullhead City, AZ"
30590,"Bullhead City, AZ",30325,"Denver, CO"
30590,"Bullhead City, AZ",31719,"Fort Collins/Loveland, CO"
30590,"Bullhead City, AZ",33502,"Montrose/Delta, CO"
30590,"Bullhead City, AZ",34288,"Pueblo, CO"
33502,"Montrose/Delta, CO",30590,"Bullhead City, AZ"
34288,"Pueblo, CO",30590,"Bullhead City, AZ"
31840,"Gadsden, AL",34288,"Pueblo, CO"
34288,"Pueblo, CO",32457,"Oakland, CA"
33105,"Cincinnati, OH",30325,"Denver, CO"
30559,"Seattle, WA",30189,"Colorado Springs, CO"
30325,"Denver, CO",33851,"Oklahoma City, OK"
30325,"Denver, CO",30325,"Denver, CO"
31283,"Dodge City, KS",30325,"Denver, CO"
30325,"Denver, CO",30558,"Scottsbluff, NE"
30325,"Denver, CO",31283,"Dodge City, KS"
30325,"Denver, CO",31468,"Kearney, NE"
30325,"Denver, CO",32899,"North Platte, NE"
30325,"Denver, CO",32902,"Liberal, KS"
31468,"Kearney, NE",30325,"Denver, CO"
32899,"North Platte, NE",30325,"Denver, CO"
32902,"Liberal, KS",30325,"Denver, CO"
30325,"Denver, CO",34081,"Page, AZ"
34288,"Pueblo, CO",31711,"Farmington, NM"
30325,"Denver, CO",30409,"Watertown, SD"
32389,"Williston, ND",30325,"Denver, CO"
31921,"Grand Junction, CO",32211,"Las Vegas, NV"
32211,"Las Vegas, NV",31921,"Grand Junction, CO"
30189,"Colorado Springs, CO",30928,"Wichita, KS"
30325,"Denver, CO",30721,"Boston, MA"
31454,"Orlando, FL",30325,"Denver, CO"
30977,"Chicago, IL",30189,"Colorado Springs, CO"
34492,"Raleigh/Durham, NC",30325,"Denver, CO"
34614,"Salt Lake City, UT",30189,"Colorado Springs, CO"
30325,"Denver, CO",31650,"Minneapolis, MN"
30325,"Denver, CO",34653,"Tulsa, OK"
31986,"Grand Rapids, MI",30325,"Denver, CO"
31097,"Cody, WY",30325,"Denver, CO"
30189,"Colorado Springs, CO",32600,"Little Rock, AR"
30189,"Colorado Springs, CO",33486,"Missoula, MT"
30189,"Colorado Springs, CO",30436,"Tucson, AZ"
30852,"Washington, DC",30189,"Colorado Springs, CO"
30325,"Denver, CO",30140,"Albuquerque, NM"
30325,"Denver, CO",31003,"Cedar Rapids/Iowa City, IA"
30325,"Denver, CO",31097,"Cody, WY"
30325,"Denver, CO",31122,"Casper, WY"
30325,"Denver, CO",30194,"Dallas/Fort Worth, TX"
30325,"Denver, CO",31986,"Grand Rapids, MI"
30325,"Denver, CO",31453,"Houston, TX"
30325,"Denver, CO",32441,"Jackson, WY"
30325,"Denver, CO",33264,"Medford, OR"
30325,"Denver, CO",33316,"Omaha, NE"
30325,"Denver, CO",34489,"Bend/Redmond, OR"
30325,"Denver, CO",33044,"Louisville, KY"
30325,"Denver, CO",32575,"Santa Ana, CA"
30325,"Denver, CO",35041,"Sun Valley/Hailey/Ketchum, ID"
30194,"Dallas/Fort Worth, TX",30189,"Colorado Springs, CO"
31921,"Grand Junction, CO",32575,"Los Angeles, CA"
31453,"Houston, TX",30325,"Denver, CO"
32441,"Jackson, WY",30325,"Denver, CO"
32888,"Laramie, WY",30325,"Denver, CO"
32575,"Los Angeles, CA",30325,"Denver, CO"
32600,"Little Rock, AR",30325,"Denver, CO"
33264,"Medford, OR",30325,"Denver, CO"
33486,"Missoula, MT",30189,"Colorado Springs, CO"
34057,"Portland, OR",30325,"Denver, CO"
34252,"Pasco/Kennewick/Richland, WA",31921,"Grand Junction, CO"
33570,"San Diego, CA",30325,"Denver, CO"
33214,"San Antonio, TX",30325,"Denver, CO"
34794,"St. George, UT",30189,"Colorado Springs, CO"
33192,"Sacramento, CA",30325,"Denver, CO"
32575,"Santa Ana, CA",30325,"Denver, CO"
30140,"Albuquerque, NM",30325,"Denver, CO"
30721,"Boston, MA",30325,"Denver, CO"
30849,"Bozeman, MT",30325,"Denver, CO"
30325,"Denver, CO",30620,"Billings, MT"
30325,"Denver, CO",30849,"Bozeman, MT"
30325,"Denver, CO",32467,"Fort Lauderdale, FL"
30325,"Denver, CO",30852,"Washington, DC"
30325,"Denver, CO",33198,"Kansas City, MO"
30325,"Denver, CO",31454,"Orlando, FL"
30325,"Denver, CO",34100,"Philadelphia, PA"
30325,"Denver, CO",34262,"Palm Springs, CA"
30325,"Denver, CO",34570,"Reno, NV"
30325,"Denver, CO",31123,"St. Louis, MO"
30852,"Washington, DC",30325,"Denver, CO"
34262,"Palm Springs, CA",30325,"Denver, CO"
34524,"Richmond, VA",30325,"Denver, CO"
34689,"Santa Barbara, CA",30325,"Denver, CO"
31123,"St. Louis, MO",30325,"Denver, CO"
30994,"Charleston, SC",30325,"Denver, CO"
30647,"Cleveland, OH",30325,"Denver, CO"
30325,"Denver, CO",30713,"Boise, ID"
30325,"Denver, CO",34057,"Portland, OR"
30325,"Denver, CO",31714,"Fort Myers, FL"
33495,"New Orleans, LA",30325,"Denver, CO"
30198,"Pittsburgh, PA",30325,"Denver, CO"
31714,"Fort Myers, FL",30325,"Denver, CO"
30325,"Denver, CO",30189,"Colorado Springs, CO"
30325,"Denver, CO",31423,"Des Moines, IA"
30325,"Denver, CO",30928,"Wichita, KS"
30928,"Wichita, KS",30325,"Denver, CO"
33044,"Louisville, KY",30325,"Denver, CO"
30325,"Denver, CO",31066,"Columbus, OH"
30325,"Denver, CO",32337,"Indianapolis, IN"
30325,"Denver, CO",33486,"Missoula, MT"
30325,"Denver, CO",35412,"Knoxville, TN"
32337,"Indianapolis, IN",30325,"Denver, CO"
33486,"Missoula, MT",30325,"Denver, CO"
33195,"Tampa, FL",30325,"Denver, CO"
35412,"Knoxville, TN",30325,"Denver, CO"
30325,"Denver, CO",33495,"New Orleans, LA"
30325,"Denver, CO",30436,"Tucson, AZ"
31921,"Grand Junction, CO",34614,"Salt Lake City, UT"
33244,"Memphis, TN",31921,"Grand Junction, CO"
32457,"Oakland, CA",30325,"Denver, CO"
33502,"Montrose/Delta, CO",32891,"Lawton/Fort Sill, OK"
30325,"Denver, CO",30285,"Durango, CO"
30285,"Durango, CO",30325,"Denver, CO"
30194,"Dallas/Fort Worth, TX",33502,"Montrose/Delta, CO"
33502,"Montrose/Delta, CO",30194,"Dallas/Fort Worth, TX"
30325,"Denver, CO",34877,"Salina, KS"
34877,"Salina, KS",30325,"Denver, CO"
30189,"Colorado Springs, CO",31123,"St. Louis, MO"
31453,"Houston, TX",32012,"Gunnison, CO"
30325,"Denver, CO",30559,"Seattle, WA"
30325,"Denver, CO",31921,"Grand Junction, CO"
30325,"Denver, CO",31895,"Great Falls, MT"
30325,"Denver, CO",33214,"San Antonio, TX"
31638,"Fresno, CA",30189,"Colorado Springs, CO"
31921,"Grand Junction, CO",30372,"Aspen, CO"
31921,"Grand Junction, CO",30325,"Denver, CO"
31921,"Grand Junction, CO",30194,"Dallas/Fort Worth, TX"
31895,"Great Falls, MT",30325,"Denver, CO"
30977,"Chicago, IL",31921,"Grand Junction, CO"
31834,"Fayetteville, AR",30325,"Denver, CO"
30325,"Denver, CO",31884,"Spokane, WA"
30325,"Denver, CO",34492,"Raleigh/Durham, NC"
30325,"Denver, CO",34689,"Santa Barbara, CA"
30325,"Denver, CO",33195,"Tampa, FL"
31603,"Eugene, OR",30325,"Denver, CO"
31703,"Newark, NJ",30325,"Denver, CO"
31884,"Spokane, WA",30325,"Denver, CO"
32211,"Las Vegas, NV",30325,"Denver, CO"
30436,"Tucson, AZ",30325,"Denver, CO"
30713,"Boise, ID",30325,"Denver, CO"
30325,"Denver, CO",30852,"Baltimore, MD"
30325,"Denver, CO",30994,"Charleston, SC"
30559,"Seattle, WA",30325,"Denver, CO"
32457,"San Jose, CA",30325,"Denver, CO"
30325,"Denver, CO",30599,"Birmingham, AL"
30325,"Denver, CO",33485,"Madison, WI"
33485,"Madison, WI",30325,"Denver, CO"
30325,"Denver, CO",30615,"El Paso, TX"
30194,"Dallas/Fort Worth, TX",30325,"Denver, CO"
33367,"Moline, IL",30325,"Denver, CO"
30279,"Amarillo, TX",30325,"Denver, CO"
30325,"Denver, CO",30279,"Amarillo, TX"
30325,"Denver, CO",31267,"Dayton, OH"
30325,"Denver, CO",33502,"Montrose/Delta, CO"
30325,"Denver, CO",32575,"Ontario, CA"
32575,"Los Angeles, CA",31921,"Grand Junction, CO"
32896,"Lubbock, TX",30325,"Denver, CO"
33502,"Montrose/Delta, CO",30325,"Denver, CO"
32575,"Ontario, CA",30325,"Denver, CO"
34457,"Rapid City, SD",30325,"Denver, CO"
32575,"Burbank, CA",30325,"Denver, CO"
30852,"Baltimore, MD",30325,"Denver, CO"
31057,"Charlotte, NC",30325,"Denver, CO"
30325,"Denver, CO",31703,"Newark, NJ"
30257,"Albany, NY",30325,"Denver, CO"
30325,"Denver, CO",32575,"Long Beach, CA"
30325,"Denver, CO",33667,"Norfolk, VA"
30325,"Denver, CO",33192,"Sacramento, CA"
33316,"Omaha, NE",30325,"Denver, CO"
33667,"Norfolk, VA",30325,"Denver, CO"
30599,"Birmingham, AL",30325,"Denver, CO"
30325,"Denver, CO",30693,"Nashville, TN"
30325,"Denver, CO",33244,"Memphis, TN"
30325,"Denver, CO",31834,"Fayetteville, AR"
33244,"Memphis, TN",30325,"Denver, CO"
31003,"Cedar Rapids/Iowa City, IA",30325,"Denver, CO"
30620,"Billings, MT",30325,"Denver, CO"
30325,"Denver, CO",34783,"Springfield, MO"
30325,"Denver, CO",30476,"Shreveport, LA"
30476,"Shreveport, LA",30325,"Denver, CO"
30285,"Durango, CO",32575,"Los Angeles, CA"
32575,"Los Angeles, CA",30285,"Durango, CO"
34783,"Springfield, MO",30325,"Denver, CO"
30325,"Denver, CO",31057,"Charlotte, NC"
30325,"Denver, CO",31603,"Eugene, OR"
30325,"Denver, CO",31648,"Kalispell, MT"
30325,"Denver, CO",32982,"Lihue, HI"
31648,"Kalispell, MT",30325,"Denver, CO"
32982,"Lihue, HI",30325,"Denver, CO"
33342,"Milwaukee, WI",30325,"Denver, CO"
30615,"El Paso, TX",30325,"Denver, CO"
33502,"Montrose/Delta, CO",30977,"Chicago, IL"
30977,"Chicago, IL",33502,"Montrose/Delta, CO"
30325,"Denver, CO",32575,"Burbank, CA"
30325,"Denver, CO",33304,"Minot, ND"
32467,"Fort Lauderdale, FL",30325,"Denver, CO"
30693,"Nashville, TN",30325,"Denver, CO"
30325,"Denver, CO",31233,"Cheyenne, WY"
30189,"Colorado Springs, CO",32575,"Los Angeles, CA"
30325,"Denver, CO",33964,"North Bend/Coos Bay, OR"
33304,"Minot, ND",30325,"Denver, CO"
33964,"North Bend/Coos Bay, OR",30325,"Denver, CO"
34489,"Bend/Redmond, OR",30325,"Denver, CO"
30325,"Denver, CO",31136,"Jacksonville, FL"
31136,"Jacksonville, FL",30325,"Denver, CO"
30189,"Colorado Springs, CO",31921,"Grand Junction, CO"
31921,"Grand Junction, CO",30189,"Colorado Springs, CO"
30561,"Bakersfield, CA",30325,"Denver, CO"
30325,"Denver, CO",30198,"Pittsburgh, PA"
30325,"Denver, CO",33728,"Pensacola, FL"
33728,"Pensacola, FL",30325,"Denver, CO"
30325,"Denver, CO",34699,"Hayden, CO"
31775,"Sioux Falls, SD",30325,"Denver, CO"
30325,"Denver, CO",30529,"Hartford, CT"
30325,"Denver, CO",31703,"New York, NY"
30189,"Colorado Springs, CO",32457,"San Francisco, CA"
32457,"San Francisco, CA",30189,"Colorado Springs, CO"
30325,"Denver, CO",32012,"Gunnison, CO"
32012,"Gunnison, CO",30325,"Denver, CO"
34699,"Hayden, CO",30325,"Denver, CO"
30466,"Phoenix, AZ",30189,"Colorado Springs, CO"
30189,"Colorado Springs, CO",30466,"Phoenix, AZ"
30189,"Colorado Springs, CO",32211,"Las Vegas, NV"
30643,"Branson, MO",30325,"Denver, CO"
30325,"Denver, CO",30643,"Branson, MO"
31453,"Houston, TX",30189,"Colorado Springs, CO"
30325,"Denver, CO",35177,"Telluride, CO"
35177,"Telluride, CO",30325,"Denver, CO"
30950,"Cortez, CO",30466,"Phoenix, AZ"
30466,"Phoenix, AZ",30950,"Cortez, CO"
32575,"Los Angeles, CA",30189,"Colorado Springs, CO"
31703,"New York, NY",30325,"Denver, CO"
31638,"Fresno, CA",31921,"Grand Junction, CO"
